200000 200000
0 171928 50739
0 829 50739
0 33591 50739
0 24873 50739
0 90818 50739
0 126010 50739
0 44309 50739
0 175656 50739
0 168025 50739
0 74613 50739
0 144647 50739
0 167405 50739
0 110780 50739
0 13560 50739
0 156179 50739
0 18749 50739
0 164383 50739
0 149387 50739
0 99681 50739
0 31595 50739
0 139710 50739
0 165896 50739
0 194778 50739
0 408 50739
0 180794 50739
0 73539 50739
0 92094 50739
0 124890 50739
0 82324 50739
0 84098 50739
0 146528 50739
0 55289 50739
0 100293 50739
0 146381 50739
0 95669 50739
0 161125 50739
0 44205 50739
0 25501 50739
0 49843 50739
0 65788 50739
0 134154 50739
0 30335 50739
0 51899 50739
0 72662 50739
0 140135 50739
0 156087 50739
0 168846 50739
0 117551 50739
0 51212 50739
0 173900 50739
0 145564 50739
0 93914 50739
0 3154 50739
0 57877 50739
0 102424 50739
0 197069 50739
0 29416 50739
0 123766 50739
0 44833 50739
0 192953 50739
0 100546 50739
0 195539 50739
0 111756 50739
0 127010 50739
0 184212 50739
0 130752 50739
0 128681 50739
0 45380 50739
0 38011 50739
0 169924 50739
0 146348 50739
0 69554 50739
0 174185 50739
0 67509 50739
0 70370 50739
0 44253 50739
0 154130 50739
0 123513 50739
0 196564 50739
0 105319 50739
0 73502 50739
0 161609 50739
0 116967 50739
0 141399 50739
0 19674 50739
0 165684 50739
0 139754 50739
0 176240 50739
0 142569 50739
0 88408 50739
0 101417 50739
0 182346 50739
0 139781 50739
0 107343 50739
0 189763 50739
0 86858 50739
0 149530 50739
0 186496 50739
0 93796 50739
0 128146 50739
0 136637 50739
0 187069 50739
0 16878 50739
0 99045 50739
0 71787 50739
0 100613 50739
0 36620 50739
0 41287 50739
0 4163 50739
0 67572 50739
0 138542 50739
0 183935 50739
0 151763 50739
0 116610 50739
0 46896 50739
0 14386 50739
0 144627 50739
0 113415 50739
0 156007 50739
0 25142 50739
0 16257 50739
0 124868 50739
0 182382 50739
0 14716 50739
0 101907 50739
0 34749 50739
0 35151 50739
0 78585 50739
0 51691 50739
0 139470 50739
0 150271 50739
0 116695 50739
0 146446 50739
0 170006 50739
0 10292 50739
0 136189 50739
0 50885 50739
0 112971 50739
0 124982 50739
0 96928 50739
0 152322 50739
0 48127 50739
0 15145 50739
0 118962 50739
0 16081 50739
0 19297 50739
0 99130 50739
0 71301 50739
0 134347 50739
0 181357 50739
0 141791 50739
0 41410 50739
0 11662 50739
0 82841 50739
0 130699 50739
0 146272 50739
0 99449 50739
0 5470 50739
0 140947 50739
0 86690 50739
0 74936 50739
0 97496 50739
0 37769 50739
0 183432 50739
0 40948 50739
0 48191 50739
0 173148 50739
0 182362 50739
0 39124 50739
0 74671 50739
0 54566 50739
0 75891 50739
0 139960 50739
0 119290 50739
0 164993 50739
0 100893 50739
0 178380 50739
0 10492 50739
0 176318 50739
0 4471 50739
0 132984 50739
0 131008 50739
0 18488 50739
0 173871 50739
0 93701 50739
0 95133 50739
0 156872 50739
0 88255 50739
0 98030 50739
0 67055 50739
0 50641 50739
0 143996 50739
0 161253 50739
0 106355 50739
0 158646 50739
0 26666 50739
0 186263 50739
0 192248 50739
0 143292 50739
0 184947 50739
0 72494 50739
0 11337 50739
0 60733 50739
0 3461 50739
0 19941 50739
0 131445 50739
0 55992 50739
0 38112 50739
0 197120 50739
0 9965 50739
0 104264 50739
0 89757 50739
0 54091 50739
0 38209 50739
0 167266 50739
0 39991 50739
0 28195 50739
0 128734 50739
0 108864 50739
0 43772 50739
0 157477 50739
0 111831 50739
0 73332 50739
0 49577 50739
0 70995 50739
0 47665 50739
0 142831 50739
0 59355 50739
0 128641 50739
0 136475 50739
0 6861 50739
0 125636 50739
0 184127 50739
0 67507 50739
0 47530 50739
0 192065 50739
0 146262 50739
0 29788 50739
0 16207 50739
0 18514 50739
0 17070 50739
0 19783 50739
0 120715 50739
0 9803 50739
0 3901 50739
0 161356 50739
0 97942 50739
0 172760 50739
0 160567 50739
0 98869 50739
0 17914 50739
0 186465 50739
0 3366 50739
0 178913 50739
0 5695 50739
0 169146 50739
0 67726 50739
0 120520 50739
0 80554 50739
0 31388 50739
0 48722 50739
0 85866 50739
0 82668 50739
