106593 195578
1 19532 2405
0 103763 75375
1 37669 68102
1 16940 40467
0 20808 35621
0 100245 96449
1 77743 9051
1 36856 30220
1 24599 7535
0 40711 56901
1 6580 62679
1 47174 5596
0 23116 5507
0 87812 83090
1 58378 78561
0 2585 106045
0 11964 50533
0 8610 18734
0 4515 29162
1 67628 15546
1 88501 10687
0 16142 11062
0 201 47763
0 32732 4282
0 9661 98066
1 15046 55475
0 98664 61372
0 78465 20495
0 30215 43274
1 46094 15721
0 68104 27560
1 4743 56311
1 17038 54024
0 67116 70643
1 65838 70929
1 106509 40676
1 93198 72366
0 106337 43672
1 23569 40476
1 26082 35032
1 76857 56991
1 12379 43482
0 58809 10747
0 35642 60874
0 72902 30840
0 20818 47857
1 90647 98702
0 100751 38384
0 5638 99968
0 13712 59423
1 17644 6316
0 36501 54311
1 4192 75287
0 38355 11759
0 43455 92636
1 101312 63897
0 31211 34520
0 10458 60540
0 12728 5479
0 6274 7530
0 105772 92992
1 103856 40798
1 105352 54687
1 103407 43213
1 56173 43710
0 14333 52880
0 38350 38534
0 41261 45316
0 12735 76995
1 3383 51464
0 49690 55749
1 102677 80855
1 12516 75452
0 64423 79640
1 28667 36535
0 42891 3627
0 20289 41209
0 49803 98504
0 96962 49871
1 103035 29341
1 68523 97337
1 22133 16987
1 86975 100262
1 12275 41928
1 26537 74850
1 80877 60196
0 91730 99573
1 25816 70351
1 72646 33612
0 62533 25588
1 85466 23667
1 81408 41199
0 6207 18432
1 21679 17188
0 101761 98680
0 18623 40819
0 96850 13532
0 38403 101109
0 1468 13885
1 3641 76500
0 55833 48003
0 29023 9479
0 105899 19615
0 34327 105589
0 22955 24811
1 44190 57700
1 6291 70470
1 30628 87081
1 80401 82871
1 47287 60676
0 41818 46029
1 26801 85315
1 60938 46141
0 47895 46084
0 60501 15704
0 16449 63663
0 58242 47781
0 90145 74171
0 78671 98342
1 68486 39935
0 26416 72682
1 74560 47169
0 64278 55506
0 20634 37420
0 26766 48258
0 52558 43362
0 93461 52076
1 101020 20529
1 21212 19898
0 94468 70750
1 7064 66958
0 49086 39160
1 43463 59357
0 58572 5642
1 104417 18600
1 104179 96786
1 32893 20607
0 46804 60952
1 40142 33645
0 36008 96585
1 97576 60637
1 85773 31278
1 15641 32269
1 93823 35648
1 5362 390
0 70109 8212
1 1052 45640
1 86349 17342
0 13616 100208
1 51307 53236
1 77283 91782
0 88450 48250
1 71087 69889
0 61773 50398
0 19048 21918
0 78773 16854
1 101541 57957
1 58329 99308
0 104521 42720
0 79854 105152
1 72159 38774
1 13896 12733
1 16129 41278
0 5751 29851
0 97908 11920
0 91383 101851
0 86709 36576
0 30169 12175
1 4703 30438
0 90147 95589
0 37783 42846
1 52478 27706
1 22875 69442
0 92750 86993
1 24699 13505
0 90134 50073
1 14535 23689
0 87061 88477
1 76333 71940
1 92288 41360
0 72008 71572
0 26263 93366
0 47059 104916
0 54308 8357
0 23019 11149
0 37075 48320
0 92172 87806
1 51006 30040
1 73871 50169
1 48653 50043
1 55586 10208
0 200 51490
1 82307 27558
1 32874 78071
0 91006 50290
1 85062 38637
0 61584 90186
0 42517 72523
1 5878 105455
1 48581 67284
1 95452 12091
1 30869 66805
1 74574 36115
1 69617 97898
1 81180 55496
1 97013 102315
1 88854 80384
