2 1000
264704197 120999146
0 1 438515315
0 0 129099933
1 0 1
0 1 885417013
1 0 1
1 1 2
0 0 165573287
0 1 669622703
1 0 1
1 0 2
0 0 928104871
1 0 2
1 0 2
1 0 1
0 1 276287905
1 0 2
0 0 903079778
0 1 923575834
1 1 2
0 1 39770237
1 0 2
1 1 2
1 0 2
0 1 739609644
1 1 2
1 1 2
0 1 776026757
0 1 14794716
0 0 720571222
0 0 796633468
0 1 641040997
0 1 968755343
0 0 747543114
1 0 1
0 1 263420409
1 0 2
1 0 1
0 1 768682370
1 0 2
1 1 2
1 0 2
0 1 871736242
1 0 1
0 0 403988143
0 0 158107041
0 1 136585361
1 0 1
1 0 1
1 0 2
0 1 768003151
0 1 716350006
1 1 2
0 0 829011041
0 1 666415978
1 0 2
0 1 130521101
0 1 367621879
0 0 700477795
1 1 2
0 0 269296694
1 0 1
0 1 281530082
0 0 802111064
0 0 489807159
1 0 2
0 1 144892127
1 1 2
1 1 2
0 0 534692970
1 0 2
1 0 1
1 0 2
0 1 157189035
0 0 865147377
1 0 2
1 1 2
0 0 773429065
1 1 2
1 1 2
0 0 105053325
1 0 1
1 0 2
1 1 2
1 0 1
1 1 2
1 0 1
1 1 2
0 0 57525845
1 1 2
1 1 2
0 0 195532272
0 1 226507934
0 0 27581792
0 0 766909962
0 1 231657310
1 0 1
0 1 640541108
1 0 1
1 0 2
1 1 2
0 0 80857922
1 1 2
0 1 307671666
1 0 1
0 1 525650738
0 0 204996751
1 1 2
1 0 2
0 1 423181627
1 1 2
0 1 282814428
0 1 222508649
1 0 1
1 0 2
1 0 2
0 0 367907666
1 0 1
1 0 2
0 0 431514130
1 0 1
1 0 1
1 0 1
1 0 2
0 0 4873554
1 0 1
1 1 2
0 1 423932057
1 0 2
1 0 2
0 0 400940805
0 1 863423383
1 0 2
0 1 157747928
0 0 602205583
0 0 241156717
0 1 26330288
0 0 64281672
0 0 484881735
1 1 2
1 0 1
1 0 2
1 1 2
0 0 760752795
0 0 627815219
1 1 2
0 1 216095588
1 0 1
0 0 811953378
1 0 2
1 0 2
0 1 931522758
1 0 2
0 0 795671284
1 1 2
0 0 145225888
0 0 237366813
1 0 2
1 0 1
0 0 610994557
1 0 2
1 0 2
1 0 2
0 1 244117671
1 1 2
1 0 1
0 1 818238629
0 0 316296338
1 0 2
0 1 447978048
1 0 1
1 0 2
1 1 2
1 0 1
1 1 2
0 1 589022172
0 1 880745027
0 1 485274459
0 0 523871556
0 1 875650875
0 0 520949196
0 1 770641585
0 1 206506864
1 0 1
0 1 426487833
0 1 245042497
0 1 54022602
1 0 1
1 1 2
1 0 2
0 0 975930688
0 0 891331027
1 1 2
1 1 2
1 1 2
1 1 2
1 0 2
0 1 693423687
0 0 54478886
0 1 734642588
0 0 554242922
0 1 834765732
0 0 669525757
0 0 653214462
0 1 818417818
1 0 1
0 1 723009320
0 0 326864968
1 0 2
1 0 2
0 1 492206462
1 0 2
0 1 955067289
1 1 2
0 1 3288366
1 0 1
0 0 499736218
0 0 460040357
1 0 2
1 0 1
0 1 403609733
1 0 1
0 0 862739997
0 1 677553429
0 1 40899335
0 1 987025786
0 0 972506541
0 0 688510330
0 0 946779393
0 1 742529501
1 0 2
1 1 2
1 0 1
0 1 679685394
1 1 2
0 0 883994450
1 0 2
1 0 2
1 0 2
1 1 2
1 0 1
1 0 1
1 0 2
0 0 640263313
1 0 1
1 0 2
0 1 200095662
0 1 905424128
0 0 182317674
0 1 743402101
0 0 145210301
0 1 576740159
0 1 108782814
0 1 635280149
1 1 2
0 1 277039009
0 1 827868799
0 0 230111596
0 0 500859488
0 0 920210341
1 0 1
1 1 2
0 0 611534100
1 1 2
0 0 428717427
1 0 2
0 1 190420492
0 1 534264383
1 1 2
1 1 2
1 0 2
0 0 296809897
0 0 41286107
1 0 2
0 1 952676999
1 1 2
0 0 117868168
0 0 376709502
0 1 881704834
0 1 602001468
1 0 1
0 0 411219983
0 0 653950149
1 1 2
0 0 192234027
1 0 1
0 0 515236887
1 1 2
0 0 192971476
0 1 987654110
1 0 1
0 0 663823780
1 0 1
0 0 95943082
1 0 1
1 0 1
0 0 625559816
1 1 2
0 1 205615967
0 1 630241852
1 0 1
1 1 2
1 1 2
0 0 486722998
1 0 1
0 0 344347487
1 0 1
0 1 818598886
1 1 2
0 1 765660275
0 0 355126344
0 1 495447045
0 1 489464749
1 1 2
1 0 1
0 1 445287289
1 0 1
1 1 2
0 0 631509811
1 1 2
0 0 654588759
0 0 269179541
0 0 925044428
1 1 2
0 1 675678625
1 0 2
0 1 242959815
0 1 783662211
1 1 2
0 1 359835451
1 1 2
1 0 1
0 1 483541822
1 0 2
1 1 2
0 1 881979169
1 0 2
1 1 2
1 1 2
0 1 163891898
1 1 2
0 0 488427067
1 0 2
0 0 577182746
1 1 2
1 0 2
1 0 1
1 0 2
0 0 324189710
0 0 77076299
0 1 11806335
0 0 446724464
0 1 875774799
0 1 343186917
0 1 508439840
1 0 2
1 0 2
1 0 2
1 0 2
0 1 111911609
1 1 2
1 0 1
0 1 273032776
1 0 2
0 1 580958888
1 1 2
1 0 2
0 1 964729909
1 0 1
0 0 775798178
1 1 2
1 0 1
1 0 1
0 1 749169788
0 1 654556320
0 1 491086025
0 0 659078479
