3 1000
682152023 451794314 2028037
1 0 1
0 2 745629015
0 1 263419161
1 0 2
0 1 442332844
0 2 239303569
1 0 2
1 0 2
1 1 3
1 0 2
0 2 679335110
1 0 1
0 0 86377174
0 2 863589554
1 2 3
0 2 951473804
0 1 794478014
1 1 2
0 0 626625485
1 1 2
0 1 342823400
1 1 3
0 0 581004064
0 0 227723599
1 1 2
1 0 2
0 1 571051694
1 0 1
1 2 3
1 1 2
1 1 3
1 0 2
1 0 2
1 0 2
1 0 2
1 0 1
1 1 3
1 0 3
0 0 550847494
1 1 2
0 2 617776915
0 2 86561732
0 1 464996346
1 0 2
0 1 597214909
1 0 1
0 2 542275936
0 2 386859145
0 0 161552223
0 1 130763529
0 0 556636623
0 0 846344645
0 0 160906495
1 0 3
1 1 2
0 2 851501934
1 2 3
1 0 2
1 1 2
0 2 935590236
1 1 3
0 0 739024885
1 0 2
1 1 2
1 2 3
1 2 3
1 0 1
0 1 528901509
1 1 2
1 0 3
0 0 28006754
1 0 3
1 0 3
1 1 3
1 0 3
1 2 3
0 2 307780515
0 1 863471204
0 1 701455874
1 1 3
1 1 3
1 0 2
1 0 2
1 1 2
1 0 2
0 0 478112150
1 0 3
0 0 305802577
1 1 3
0 0 962890489
0 0 78431292
0 1 793108760
0 1 928598933
1 1 2
0 2 373371890
0 0 804486637
1 1 3
1 1 2
0 2 747264388
0 0 209724128
0 1 219853290
0 1 196958284
0 1 229904901
1 0 1
0 2 714159284
0 1 348381126
0 1 433820206
1 1 3
1 1 3
0 0 25446519
1 0 2
0 2 702028202
0 0 571143618
1 1 3
1 0 1
1 0 3
0 0 587464493
1 0 3
1 1 3
0 2 183660185
1 2 3
1 0 3
0 0 72535530
0 1 255672671
1 0 3
1 0 1
0 0 933593593
1 0 3
0 0 620907419
1 2 3
1 0 2
0 1 545181668
1 1 3
0 0 840677449
0 1 45193281
0 0 947432470
0 0 962033506
1 1 2
0 2 972445777
0 1 274344623
1 0 3
0 2 372484525
1 0 3
1 1 2
0 2 105985216
0 2 330235168
0 1 623894365
1 0 1
1 1 2
1 2 3
0 0 980656692
0 0 882617980
0 2 823734889
0 1 307300651
1 2 3
0 0 603046378
1 2 3
0 1 281817041
1 2 3
1 2 3
0 2 514539007
0 0 284016191
0 2 911413982
