53336 61958
288974909 111681588 291303632
155763712 177741457 164199418
280452914 745629015 727272894
383855815 451963117 263419161
854025925 625817844 903511050
636159790 788165373 442332844
275132246 358996390 239303569
23523747 398318281 935986353
142493592 695297770 499848367
7061287 551242323 622426888
79384002 19141560 513456960
313082157 130997331 463541289
120030523 986922531 112618850
230228300 678849560 504459522
679335110 334404235 867470925
674397136 958197434 404243924
86377174 618061916 863589554
791513591 435167767 915162678
71459492 341562698 951473804
52898442 401242089 794478014
364178763 453002785 706324970
720922658 653545259 112784412
626625485 423006839 483894301
669309742 618420173 342823400
63159789 669473697 552010351
785773594 78145328 581004064
943346726 856912692 227723599
266280591 128456734 832249497
530649785 552244092 760049622
285284864 907915613 571051694
550324427 172354129 844757180
27279851 835825143 711708323
241389523 601591618 95282135
388198169 895143571 122021473
420267989 870020617 207534299
532166635 503056550 66284175
660803648 200677819 118884818
741997440 706435381 66950056
578541378 975233884 175415879
620832440 628486949 510176861
446057125 926002845 368100055
867115953 621658024 257571540
500057709 658107225 864636173
955201485 957474455 167265452
399008442 497916596 550847494
458109739 758608226 568056529
253805046 617776915 860690631
433527490 86561732 438782170
532703055 330922633 464996346
459050659 396169942 448906708
277614808 853056579 626274617
597214909 510226327 461020001
180426754 43412191 868977854
542275936 209267734 120714502
386859145 84098970 314300240
161552223 119634118 30107399
809928697 130763529 549763654
582647216 556636623 622786608
123862180 846344645 760720366
770611024 160906495 46147265
639857947 431937569 294403014
260015621 152536706 121038459
919321994 851501934 721753845
474964155 587182878 550621781
433177566 989881169 949027832
568805827 195162271 969391498
910191630 114548429 474202086
64884460 459208762 935590236
364830411 552865817 688217587
560792314 523106616 739024885
980716431 152225730 99227632
423647480 59551364 975997760
587481860 689797242 942223509
362895767 204797314 532352218
634094070 322778310 715453291
14371406 894999939 327962270
842741243 434672391 105983829
375024120 531433894 614069541
528901509 808264285 996866914
745140973 56268139 759836600
78552171 111933668 204658092
28006754 764401593 732123932
688293139 672712383 468924696
777760359 338013330 700743486
608345215 815071559 180352086
336664642 280134951 168859884
576353231 761089112 310076619
304003094 83056178 307780515
98992432 243035791 476132273
863471204 819145862 859516181
701455874 205980989 942428387
72726621 87302527 956897892
985380244 582435991 6608577
464022604 175084790 683266391
501862907 967413623 484718004
617253574 825068049 495045358
880548117 527208105 822668040
975435310 978633468 905111292
478112150 284212393 980064651
937789476 305802577 763536091
336975230 338281497 114673431
807004526 389190500 962890489
108514522 78431292 878717496
403000081 793108760 281288305
928598933 885567777 339577893
88841466 159610396 205321258
373371890 104693224 424187352
804486637 75820195 211866651
180200905 882036385 726140430
867745814 843037105 208630878
