693 299
736 300 601
714 152 575
817 573 596
949 668 895
156 696 620
656 396 997
624 814 36
374 926 239
824 729 195
849 735 275
401 797 874
831 985 310
445 926 451
159 725 311
2 802 682
908 726 690
396 826 500
679 138 576
366 285 449
460 981 451
640 75 607
42 601 4
243 858 612
787 432 378
935 474 69
917 775 221
738 934 751
477 437 72
538 785 554
814 420 852
423 926 117
77 283 412
122 543 731
216 104 23
386 265 722
1000 421 529
601 187 996
524 715 961
565 219 971
512 954 223
644 816 264
426 187 792
952 723 991
785 304 555
167 363 60
792 141 785
741 548 694
646 288 208
665 840 704
610 724 670
851 972 399
797 156 26
928 821 787
495 765 636
884 46 162
675 441 461
535 803 207
666 281 539
594 259 842
331 833 799
618 26 987
637 256 870
407 219 59
906 444 737
511 716 364
309 599 399
163 881 786
45 905 930
393 902 739
719 678 841
759 742 736
533 892 408
782 491 129
668 102 204
132 803 434
494 524 886
242 236 675
535 13 172
550 142 745
271 923 831
100 451 158
288 84 596
40 802 159
138 879 71
271 905 719
751 44 459
764 902 626
28 728 228
721 98 637
400 396 835
906 622 231
846 608 41
159 52 118
705 650 106
219 309 419
910 127 630
778 103 459
527 73 381
943 733 507
498 990 552
364 606 276
549 360 655
754 191 228
543 207 35
374 355 556
98 552 361
994 689 94
956 20 879
890 516 510
119 333 877
956 111 377
690 102 241
145 781 165
892 870 474
441 833 801
10 937 940
425 668 442
131 450 355
723 499 758
142 466 879
384 151 239
538 3 326
349 272 44
926 413 131
220 338 586
734 73 148
354 277 80
822 423 484
288 484 967
559 124 437
128 376 94
862 825 230
369 536 676
59 200 341
151 291 445
950 787 483
577 710 564
198 504 904
71 71 763
289 508 968
444 734 212
686 946 262
188 720 515
869 627 58
441 578 698
317 214 221
108 1 68
465 942 337
816 610 116
809 298 138
215 533 942
851 267 756
708 359 999
463 13 658
294 269 19
985 596 509
521 953 307
9 678 323
475 298 712
608 576 302
455 305 633
817 22 187
694 195 341
224 623 277
254 558 650
130 247 934
858 631 296
901 941 362
835 155 46
579 892 589
977 396 494
782 489 255
893 859 316
220 567 426
303 868 491
425 483 627
563 283 373
906 388 873
72 113 438
873 5 247
473 527 972
851 569 441
570 541 897
333 373 342
506 48 687
244 46 434
322 462 708
492 123 126
31 19 293
24 158 219
47 592 305
226 452 632
58 108 632
954 606 281
730 174 175
350 577 846
342 401 896
348 679 690
860 145 495
820 710 949
933 553 645
696 153 227
305 357 922
955 62 399
4 525 153
158 395 335
551 820 12
987 155 810
982 802 462
974 606 603
377 315 270
26 696 810
281 313 183
716 152 183
668 4 789
324 83 120
364 876 58
177 756 449
617 819 202
148 973 613
834 822 84
205 216 496
257 952 955
763 99 994
854 168 698
716 508 142
777 323 91
662 226 877
336 458 473
560 517 792
361 835 88
580 873 745
602 626 243
211 855 396
516 737 559
814 242 872
566 675 815
555 698 748
605 597 775
73 230 695
440 574 185
430 602 351
244 658 695
959 656 797
314 104 453
472 891 262
771 448 727
641 839 188
283 652 184
684 902 171
829 961 927
818 21 709
791 992 221
404 570 677
164 372 478
844 906 680
684 196 300
15 284 730
46 554 543
875 861 209
988 273 246
779 861 941
611 738 979
350 138 809
814 943 107
970 757 227
817 865 916
639 537 659
28 73 614
869 811 773
900 385 444
807 660 675
457 96 293
799 863 92
154 269 423
438 448 498
765 335 659
552 930 110
12 872 710
553 663 988
433 46 551
797 726 149
517 86 628
693 516 142
193 415 391
909 675 84
981 736 226
662 771 277
733 552 384
673 553 953
152 208 560
110 223 603
212 792 553
926 318 831
505 6 898
524 385 343
31 438 537
600 413 549
542 424 831
853 34 380
728 248 577
19 592 64
200 171 94
749 706 762
63 735 182
621 344 90
566 345 101
977 983 495
355 561 516
419 550 449
527 171 599
285 992 497
271 185 538
573 398 165
608 674 136
708 903 830
367 899 784
510 714 773
338 964 977
994 36 794
41 695 93
885 275 841
853 968 671
725 546 825
967 551 842
141 750 303
386 941 218
215 402 737
981 638 536
421 778 213
391 685 594
645 446 452
916 965 535
562 666 312
942 9 659
78 369 132
643 172 528
204 230 1000
290 634 218
841 682 373
403 176 243
802 17 579
865 746 275
271 191 678
75 273 792
712 386 291
671 561 735
150 507 803
786 117 957
138 273 738
903 72 539
453 547 108
815 97 402
163 973 787
125 960 154
868 110 398
1 579 561
773 556 906
25 328 137
110 868 191
416 429 160
393 356 530
886 993 242
755 391 184
62 412 996
839 18 530
280 643 466
523 440 289
555 549 707
34 591 732
592 886 92
339 503 550
519 992 535
920 112 964
819 80 568
873 739 465
540 781 403
300 489 195
983 252 725
4 416 82
580 238 447
64 998 399
793 353 435
300 299 584
534 920 140
151 61 84
808 341 102
271 343 883
337 610 775
994 71 602
310 78 726
931 533 190
497 729 43
836 2 239
195 222 303
409 258 173
370 833 989
368 374 564
618 266 299
714 861 213
871 871 987
305 955 561
458 566 822
497 146 269
315 770 406
189 421 843
549 965 287
278 17 661
955 299 413
942 340 445
435 238 396
28 463 607
561 904 404
517 20 613
