693 299
736 300 528756313
714 152 264440383
817 573 608119380
949 668 696703871
156 696 890791532
656 396 322953840
814 36 306647414
926 239 909058872
729 195 584469329
735 275 629938577
797 874 196670271
985 310 842804669
926 451 560028831
725 311 861789186
802 682 780877708
726 690 414950796
826 500 955308711
138 576 739990894
285 449 148171212
981 451 711527040
75 607 923622442
601 4 189845338
612 787 701326768
378 935 153703898
69 917 633051911
221 738 510023590
751 477 522937781
72 538 3720977
554 814 487222100
423 926 913636469
77 283 532291996
122 543 371623643
216 104 599149591
386 265 252728018
1000 421 401033745
601 187 149124068
524 715 331487169
565 219 248342016
954 223 845833860
816 264 346209706
187 792 339470264
723 991 82572049
304 555 996236455
363 60 823871256
141 785 552250085
548 694 36819590
288 208 877980488
704 610 96912084
670 851 241584076
399 797 444486812
26 928 718697235
495 765 175477372
884 46 74114210
675 441 69575117
535 803 477587442
207 666 247221529
539 594 390143235
842 331 421663553
799 618 477181978
987 637 819349760
870 407 779931867
59 906 60835260
737 511 568484556
364 309 554047063
399 163 25145201
786 45 62605193
930 393 550125446
739 719 503316297
759 742 583095008
533 892 28565500
408 782 794174955
129 668 974478438
204 132 650759971
434 494 56560140
886 242 759517420
675 535 332668941
172 550 354325646
745 271 27828123
831 100 606529987
158 288 98844756
596 40 720653471
138 879 477025351
271 905 932329452
719 751 876288044
459 764 835360370
28 728 729753828
721 98 368415357
400 396 599511875
906 622 56060135
846 608 692565033
159 52 784951414
705 650 37285994
219 309 738593187
910 127 181217910
778 103 994337227
527 73 24400815
733 507 182407666
990 552 375403884
606 276 163815973
360 655 638332658
191 228 156722719
207 35 560390518
355 556 797782114
552 361 510134242
689 94 164889532
20 879 522973050
516 510 695807095
333 877 765043644
111 377 370336434
102 241 180999313
781 165 687572860
870 474 162447801
833 801 673284106
937 940 157822377
668 442 806266306
355 723 593913331
758 142 404043218
879 384 76965015
239 538 996998470
349 272 175718444
926 413 700275843
220 338 450550346
734 73 574319764
354 277 528527440
822 423 433952228
288 484 110481351
559 124 716293557
128 376 201310302
862 825 952671462
369 536 131379259
200 341 727214231
291 445 660656054
787 483 826781249
710 564 142394566
504 904 889856071
71 763 115186977
508 968 390546876
734 212 217298606
946 262 903158972
720 515 485987173
627 58 482019313
441 578 348694202
317 214 384092381
108 1 364669393
942 337 256754480
610 116 500055849
298 138 746453207
533 942 643999571
267 756 776963780
359 999 499252687
13 658 290065702
269 19 576853977
596 509 834056713
953 307 177743881
678 323 253754843
298 712 7836256
576 302 33448391
305 633 774437681
22 187 937142966
195 341 106597600
623 277 991633662
558 650 770200706
247 934 438703962
631 296 851511173
941 362 460526403
155 46 100922947
892 589 416271313
396 494 682461439
893 859 325551420
220 567 134347178
303 868 337442283
425 483 370738803
563 283 270146933
906 388 462029673
72 113 443252150
873 5 338522359
473 527 911859660
851 569 279290297
570 541 601004929
333 373 322621782
506 48 564670127
244 46 99678642
322 462 355399364
492 123 37116959
19 293 800081944
158 219 253001775
592 305 455246050
452 632 814946362
108 632 750342074
606 281 50127022
175 350 292917825
846 342 526945681
896 348 202084007
690 860 341945489
495 820 669578165
933 553 136431237
696 153 751880184
227 305 357525861
922 955 688272446
399 4 397712909
153 158 928083339
335 551 992059188
12 987 799730843
810 982 642981871
802 462 808810446
606 603 821298553
315 270 149471018
281 313 175469751
716 152 474348188
4 789 117257540
83 120 624824684
876 58 150080689
756 449 379655987
202 148 105922509
613 834 363463478
84 205 646336728
496 257 162810808
955 763 902127715
994 854 842900648
698 716 629898748
142 777 658555203
91 662 558792930
877 336 501212618
473 560 228127237
792 361 287120195
88 580 785104745
745 602 769864306
243 211 41403223
396 516 493083361
559 814 594272498
872 566 548145967
555 698 401767148
605 597 222925575
73 230 510581431
440 574 76774585
430 602 94407660
351 244 744265362
695 959 315925136
797 314 3826792
453 472 695629691
262 771 757796288
727 641 940797767
188 283 683565708
184 684 246969222
171 829 128335809
927 818 237116437
709 791 501500896
221 404 118295098
677 164 488892788
478 844 263465866
680 684 40228036
300 15 199098652
730 46 773263914
543 875 180494173
209 988 746293521
246 779 884733789
941 611 529905378
979 350 523498634
809 814 246629295
107 970 899450083
817 865 34823060
639 537 783720083
28 73 547027558
869 811 841963269
900 385 524609980
807 660 721315491
457 96 418357541
799 863 100787292
154 269 515971495
438 448 823903730
765 335 712740499
552 930 435949678
12 872 608964294
553 663 714937308
433 46 125761063
797 726 708222101
517 86 656830068
693 516 730059918
193 415 330780039
909 675 724336724
981 736 906201314
662 771 954855701
733 552 382550400
673 553 303479737
152 208 52703792
110 223 365861467
212 792 517633950
318 831 723393017
6 898 770561548
385 343 477390879
438 537 550386264
413 549 786266654
424 831 217035605
34 380 59468504
248 577 553417747
592 64 514707656
171 94 157262573
706 762 121364543
735 182 553472621
344 90 497122870
345 101 827652049
983 495 194119011
561 516 162377123
550 449 242294287
171 599 791479581
992 497 734213391
185 538 696086077
398 165 671417335
608 674 984432324
903 830 261912943
899 784 523454974
714 773 103794002
964 977 270998498
36 794 761574441
695 93 982323061
275 841 530039637
968 671 888044245
546 825 420436935
551 842 606049421
750 303 912533890
941 218 954422487
402 737 465308629
638 536 848290570
213 391 856202925
594 645 439027134
452 916 584805911
562 666 373924152
942 9 421018259
78 369 203940996
643 172 239198736
204 230 104342504
290 634 944635098
841 682 918552949
403 176 722031859
802 17 841421379
865 746 890286355
271 191 67493542
75 273 581971736
712 386 980640035
671 561 993167071
150 507 194979602
117 957 74073361
738 903 506585160
539 453 866206243
108 815 303138913
402 163 591394765
787 125 370788288
154 868 58650734
398 1 146594371
561 773 718726700
906 25 739758408
137 110 512935103
416 429 728501408
393 356 290141714
886 993 920169714
755 391 77599928
62 412 395793380
839 18 228943378
280 643 275912146
523 440 593371425
555 549 968501955
34 591 797074140
592 886 409242716
339 503 487859750
519 992 194012695
920 112 116804548
819 80 159241784
873 739 299687377
540 781 260221331
300 489 784194755
983 252 960584700
725 4 847099296
82 580 7255278
447 64 500988902
399 793 93001057
435 300 936827179
584 534 834970520
140 151 950668349
84 808 16452949
102 271 998602071
883 337 355659362
775 994 803747911
602 310 338698318
726 931 22308373
190 497 366373593
43 836 848991234
239 195 493100254
303 409 639691010
173 370 754440001
989 368 288370038
564 618 696903946
299 714 131623773
213 871 159898471
987 305 163792827
561 458 984007222
822 497 129669266
269 315 754349826
406 189 224587173
843 549 865133509
287 278 994685969
661 955 278667563
413 942 506983764
445 435 57378030
396 28 730717647
607 561 938494856
404 517 868518932
613 65 895316965
28 51 818475984
743 786 722031907
257 78 424233075
84 837 977021059
942 19 174722858
77 473 194854216
172 168 710804834
905 233 701100030
