200000 200000
0 121346 62880
0 62880 143296
0 143296 75241
0 75241 32939
0 32939 151529
0 151529 69814
0 69814 183444
0 183444 186071
0 186071 69881
0 69881 21213
0 21213 63280
0 63280 1268
0 1268 27198
0 27198 171812
0 171812 50828
0 50828 17221
0 17221 75523
0 75523 16204
0 16204 23889
0 23889 146985
0 146985 99798
0 99798 150042
0 150042 133209
0 133209 4662
0 4662 89239
0 89239 8614
0 8614 125692
0 125692 158106
0 158106 3789
0 3789 127819
0 127819 159346
0 159346 18308
0 18308 25373
0 25373 49592
0 49592 73435
0 73435 76488
0 76488 90358
0 90358 141399
0 141399 131185
0 131185 57704
0 57704 193570
0 193570 38472
0 38472 133849
0 133849 165161
0 165161 165395
0 165395 117031
0 117031 137376
0 137376 192806
0 192806 26341
0 26341 194178
0 194178 176100
0 176100 55706
0 55706 26247
0 26247 135899
0 135899 167309
0 167309 80982
0 80982 130478
0 130478 148053
0 148053 148778
0 148778 132800
0 132800 21803
0 21803 136973
0 136973 36399
0 36399 165181
0 165181 188326
0 188326 49889
0 49889 5807
0 5807 110559
0 110559 164793
0 164793 162788
0 162788 52250
0 52250 188389
0 188389 52359
0 52359 124739
0 124739 157871
0 157871 182191
0 182191 138146
0 138146 44662
0 44662 49495
0 49495 166682
0 166682 100712
0 100712 98668
0 98668 72470
0 72470 90827
0 90827 130503
0 130503 124235
0 124235 975
0 975 151887
0 151887 27971
0 27971 176756
0 176756 5059
0 5059 115696
0 115696 2758
0 2758 32827
0 32827 189175
0 189175 61332
0 61332 81369
0 81369 172282
0 172282 38419
0 38419 145022
0 145022 16361
0 16361 199170
0 199170 47290
0 47290 1659
0 1659 44992
0 44992 178243
0 178243 102965
0 102965 73106
0 73106 47739
0 47739 179566
0 179566 65921
0 65921 181755
0 181755 112790
0 112790 21130
0 21130 90215
0 90215 110375
0 110375 122954
0 122954 193326
0 193326 180389
0 180389 67254
0 67254 157539
0 157539 164454
0 164454 58911
0 58911 49836
0 49836 183204
0 183204 52800
0 52800 143004
0 143004 17276
0 17276 29800
0 29800 84480
0 84480 198456
0 198456 79715
0 79715 5005
0 5005 147155
0 147155 110694
0 110694 105803
0 105803 176274
0 176274 48115
0 48115 98450
0 98450 117884
0 117884 151554
0 151554 96839
0 96839 189476
0 189476 8365
0 8365 184995
0 184995 27755
0 27755 117132
0 117132 189430
0 189430 87893
0 87893 193180
0 193180 60888
0 60888 86134
0 86134 32934
0 32934 5196
0 5196 71661
0 71661 194261
0 194261 199956
0 199956 37031
0 37031 54181
0 54181 144240
0 144240 182453
0 182453 199659
0 199659 140346
0 140346 178298
0 178298 93416
0 93416 54389
0 54389 88359
0 88359 110634
0 110634 116158
0 116158 142358
0 142358 140857
0 140857 79880
0 79880 199167
0 199167 37428
0 37428 103980
0 103980 86437
0 86437 128601
0 128601 35467
0 35467 32977
0 32977 126483
0 126483 197211
0 197211 191459
0 191459 84990
0 84990 127610
0 127610 163024
0 163024 12126
0 12126 126786
0 126786 16582
0 16582 198291
0 198291 40850
0 40850 9827
0 9827 192484
0 192484 14756
0 14756 112944
0 112944 71313
0 71313 197842
0 197842 149580
0 149580 49986
0 49986 36850
0 36850 85712
0 85712 174834
0 174834 63697
0 63697 37638
0 37638 106743
0 106743 43097
0 43097 55416
0 55416 198689
0 198689 41493
0 41493 182375
0 182375 73957
0 73957 173459
0 173459 36585
0 36585 152816
0 152816 55520
0 55520 146966
0 146966 167115
0 167115 108617
0 108617 153648
0 153648 57915
0 57915 172910
0 172910 54927
0 54927 7881
0 7881 48763
0 48763 18053
0 18053 10375
0 10375 108741
0 108741 54826
0 54826 37295
0 37295 107463
0 107463 52178
0 52178 106167
0 106167 110096
0 110096 27332
0 27332 173394
0 173394 196704
