167105 25839
1 38922 98435
0 62937 58836
0 70729 100332
1 127174 68972
1 143583 69257
0 120324 107098
0 111145 84311
0 22494 69335
1 156782 129973
1 85279 40861
0 17417 42171
0 71369 107485
0 39639 144680
0 134748 132819
0 24297 30031
1 69297 120523
0 31838 30416
1 100694 126766
0 142707 73589
1 34355 26247
0 60654 75028
1 344 1472
1 90668 6285
0 52877 4606
1 58480 71359
1 1935 33588
1 123517 10728
1 164464 2262
1 5478 85471
1 134531 147483
0 86909 31427
1 65879 135605
1 74366 160820
1 141887 70560
1 76183 130345
1 26084 29998
1 31622 78364
0 94692 106337
1 143093 101535
1 90338 97229
1 101797 35750
1 162457 51727
0 28745 18614
1 131717 9013
1 31513 36719
0 29131 13600
0 122512 153463
0 121266 15481
0 68610 23484
1 62783 43240
1 56652 42466
1 141167 38450
0 4819 17213
1 54628 73121
0 49840 115401
0 24883 103811
0 145489 25633
1 138222 160999
0 42661 60992
1 98670 108860
1 115929 100055
0 28347 63896
1 64430 143123
1 111399 4718
0 17810 139624
0 126858 73385
0 15274 7156
0 20614 18229
1 27271 161485
1 135267 77092
1 137533 148906
1 76907 76997
1 57647 53621
0 6429 5267
1 8825 64669
0 57244 59271
1 47107 13176
0 124699 63669
0 86112 114618
1 164656 127671
1 56610 67347
0 111212 11041
1 63817 133543
0 118074 28113
0 134975 51094
0 89101 18655
0 132459 155903
1 34807 79066
0 146196 108968
1 111540 47350
0 157354 155179
1 15831 163162
0 26872 127998
0 104731 98338
1 91535 2531
1 125364 126580
0 57021 107416
1 10058 160742
1 79630 67544
0 122248 123250
1 111328 46750
1 18261 19606
0 1079 72169
1 81813 102253
0 166495 24562
0 147334 127375
1 126877 86468
0 75884 62045
1 46084 123038
0 48522 97623
0 40991 108841
0 11150 141588
1 137119 57920
0 5418 63182
0 4771 142758
0 1432 32895
0 16618 132087
1 24417 6557
0 165101 148822
1 48705 5502
0 112987 17884
0 25045 88712
0 150777 52438
1 131781 116331
1 10505 120335
1 90706 106196
1 146605 35487
0 45248 131417
1 80424 7540
1 112225 133228
0 99476 166920
0 57600 128868
0 78920 39156
1 36241 39210
1 70863 99404
1 54149 91771
0 157130 81528
1 156606 94990
1 109141 150956
0 159378 53183
0 102621 116498
0 40477 17910
1 111477 65390
1 24734 104535
0 75597 31283
1 107931 15903
0 30007 49666
0 32501 95455
0 130996 34660
0 63056 108739
1 7448 129409
1 27047 70487
0 41650 120382
0 35771 117374
1 129067 779
0 64283 105160
0 69186 80546
1 60805 166661
1 81903 161756
1 90436 71179
0 76658 58934
1 143341 38929
0 57185 133647
1 163202 17165
0 83308 91730
0 75301 129854
1 138187 88386
0 57330 38283
1 98854 131311
0 65119 65172
1 152651 10427
1 60822 113533
0 134865 25539
1 846 82378
0 76536 44667
0 164970 109855
1 37010 49505
1 137472 47312
1 151633 54824
0 119279 122572
0 52521 133742
0 55639 4264
1 135471 145801
0 10963 128608
1 114473 159394
0 24137 165008
0 15044 106661
0 3148 128718
0 119577 86700
0 156191 93824
0 158090 144282
1 65003 9850
0 142459 165078
0 137618 7461
1 21149 118770
1 38131 3695
1 72751 100141
1 43149 152609
1 29893 71750
1 50502 140182
0 109443 166035
0 44267 135711
1 48446 89181
1 164910 108832
0 68634 101325
0 69996 158868
1 37798 82086
1 21873 24568
1 29543 80068
0 115239 6712
1 65628 100772
1 26978 77333
1 129372 106754
0 105242 4948
0 2532 40539
0 62179 20534
0 121498 6940
1 132116 143501
0 149427 81518
0 149313 29313
0 71814 144042
1 39326 54402
0 128415 98883
1 136714 30829
0 27385 71440
0 48174 54395
1 90421 3101
1 121998 147320
0 9204 31633
1 127973 92230
0 78649 109958
