500 499
0 1 389813
1 2 410923
1 3 255713
2 4 863533
2 5 274010
3 6 772811
3 7 347289
4 8 199232
4 9 235314
5 10 301630
5 11 993877
6 12 84918
6 13 888477
7 14 449408
7 15 916637
8 16 961209
8 17 550509
9 18 198289
9 19 686477
10 20 468966
10 21 274223
11 22 92197
11 23 463223
12 24 408479
12 25 755952
13 26 992057
13 27 382682
14 28 38084
14 29 412498
15 30 160480
15 31 805140
16 32 792978
16 33 101150
17 34 25451
17 35 586560
18 36 533466
18 37 38893
19 38 792887
19 39 798142
20 40 250783
20 41 191940
21 42 89248
21 43 407254
22 44 927032
22 45 908291
23 46 721699
23 47 505515
24 48 737165
24 49 258775
25 50 997043
25 51 763277
26 52 411125
26 53 55976
27 54 955531
27 55 128577
28 56 744815
28 57 479518
29 58 521666
29 59 321997
30 60 203734
30 61 592513
31 62 444492
31 63 215648
32 64 875563
32 65 356954
33 66 562181
33 67 868596
34 68 53083
34 69 841317
35 70 233236
35 71 878001
36 72 87419
36 73 815016
37 74 611803
37 75 692294
38 76 108438
38 77 760584
39 78 446442
39 79 568542
40 80 379619
40 81 415655
41 82 910064
41 83 746934
42 84 912457
42 85 559643
43 86 575250
43 87 399915
44 88 940847
44 89 139685
45 90 682837
45 91 827816
46 92 509855
46 93 326774
47 94 344142
47 95 358684
48 96 663965
48 97 960635
49 98 427740
49 99 677081
50 100 159849
50 101 412696
51 102 575754
51 103 21203
52 104 735209
52 105 399782
53 106 477714
53 107 969306
54 108 710844
54 109 226277
55 110 407053
55 111 750284
56 112 137154
56 113 709174
57 114 693468
57 115 878081
58 116 759739
58 117 740576
59 118 681605
59 119 617265
60 120 928009
60 121 179627
61 122 200892
61 123 686873
62 124 780217
62 125 85716
63 126 783122
63 127 329009
64 128 983596
64 129 89256
65 130 87404
65 131 333885
66 132 739097
66 133 445582
67 134 466706
67 135 699110
68 136 563749
68 137 332471
69 138 119431
69 139 86225
70 140 771738
70 141 322377
71 142 776897
71 143 707171
72 144 443093
72 145 979615
73 146 718676
73 147 411597
74 148 177552
74 149 635678
75 150 939165
75 151 925723
76 152 154529
76 153 794422
77 154 422676
77 155 37360
78 156 448254
78 157 365181
79 158 804725
79 159 183343
80 160 713891
80 161 203428
81 162 352698
81 163 369102
82 164 775704
82 165 485363
83 166 519376
83 167 806170
84 168 801308
84 169 719443
85 170 72964
85 171 719691
86 172 409932
86 173 136002
87 174 876320
87 175 13931
88 176 79899
88 177 741340
89 178 45694
89 179 411905
90 180 937831
90 181 991640
91 182 839900
91 183 909372
92 184 191371
92 185 17853
93 186 32482
93 187 716288
94 188 156365
94 189 466285
95 190 647478
95 191 398936
96 192 577936
96 193 861348
97 194 104211
97 195 494638
98 196 739210
98 197 440227
99 198 620938
99 199 671623
100 200 443108
100 201 274128
101 202 504487
101 203 790264
102 204 401127
102 205 86753
103 206 211478
103 207 830333
104 208 253949
104 209 12697
105 210 461583
105 211 402924
106 212 47234
106 213 32413
107 214 351335
107 215 574669
108 216 522373
108 217 642852
109 218 594355
109 219 223727
110 220 985613
110 221 381815
111 222 282867
111 223 348397
112 224 132772
112 225 813592
113 226 270350
113 227 914605
114 228 84519
114 229 955535
115 230 604906
115 231 304400
116 232 565148
116 233 872256
117 234 453060
117 235 707743
118 236 497953
118 237 278613
119 238 78421
119 239 915497
120 240 810787
120 241 281760
121 242 190320
121 243 971848
122 244 430352
122 245 435082
123 246 145389
123 247 390864
124 248 981744
124 249 727085
125 250 923084
125 251 925437
126 252 116615
126 253 693875
127 254 456733
127 255 189145
128 256 993509
128 257 770770
129 258 839779
129 259 365182
130 260 591249
130 261 911757
131 262 774980
131 263 113547
132 264 183919
132 265 485608
133 266 456527
133 267 703073
134 268 504874
134 269 71840
135 270 325611
135 271 119861
136 272 616567
136 273 839362
137 274 37515
137 275 585835
138 276 665820
138 277 147766
139 278 395684
139 279 971663
140 280 600192
140 281 862839
141 282 622347
141 283 287180
142 284 708112
142 285 141386
143 286 143742
143 287 283568
144 288 177660
144 289 566239
145 290 420393
145 291 13677
146 292 94485
146 293 238118
147 294 769385
147 295 3728
148 296 798451
148 297 807104
149 298 275685
149 299 484896
150 300 67792
150 301 354340
151 302 450935
151 303 345444
152 304 790061
152 305 864355
153 306 23081
153 307 680298
154 308 526307
154 309 750258
155 310 647158
155 311 199775
156 312 263101
156 313 225301
157 314 202608
157 315 782203
158 316 878085
158 317 53759
159 318 601208
159 319 132974
160 320 631741
160 321 329840
161 322 763258
161 323 189107
162 324 526439
162 325 811250
163 326 644242
163 327 641806
164 328 958630
164 329 755581
165 330 201575
165 331 146907
166 332 967098
166 333 456514
167 334 493346
167 335 98315
168 336 48042
168 337 581549
169 338 535978
169 339 196253
170 340 15803
170 341 513156
171 342 959939
171 343 574820
172 344 72404
172 345 419316
173 346 142479
173 347 341459
174 348 570224
174 349 149889
175 350 418968
175 351 228592
176 352 683547
176 353 580612
177 354 851271
177 355 853342
178 356 397585
178 357 606253
179 358 980895
179 359 458142
180 360 875652
180 361 665821
181 362 277843
181 363 711243
182 364 352991
182 365 748693
183 366 957795
183 367 649494
184 368 45137
184 369 823
185 370 668072
185 371 890341
186 372 443681
186 373 209381
187 374 380872
187 375 202288
188 376 192637
188 377 116150
189 378 499841
189 379 805241
190 380 236383
190 381 679738
191 382 564455
191 383 928114
192 384 466457
192 385 791205
193 386 307260
193 387 159945
194 388 355670
194 389 551064
195 390 952612
195 391 960958
196 392 53175
196 393 212756
197 394 155108
197 395 503362
198 396 904903
198 397 758325
199 398 836807
199 399 626169
200 400 370569
200 401 663624
201 402 8264
201 403 753404
202 404 892194
202 405 513007
203 406 647677
203 407 731081
204 408 476605
204 409 499423
205 410 435413
205 411 243375
206 412 297907
206 413 849159
207 414 335037
207 415 128721
208 416 142852
208 417 496486
209 418 497268
209 419 692283
210 420 722930
210 421 552378
211 422 436803
211 423 566971
212 424 191806
212 425 336087
213 426 313566
213 427 142445
214 428 151554
214 429 813522
215 430 264111
215 431 72018
216 432 901937
216 433 972387
217 434 933674
217 435 225579
218 436 809099
218 437 915672
219 438 207382
219 439 281519
220 440 173908
220 441 830732
221 442 136949
221 443 131432
222 444 378856
222 445 130512
223 446 45070
223 447 473747
224 448 658727
224 449 851214
225 450 585748
225 451 137178
226 452 518741
226 453 748030
227 454 438794
227 455 945082
228 456 892212
228 457 534538
229 458 432807
229 459 544068
230 460 154923
230 461 357065
231 462 496225
231 463 267567
232 464 942536
232 465 914738
233 466 597626
233 467 588594
234 468 83991
234 469 405692
235 470 764599
235 471 453828
236 472 177494
236 473 691425
237 474 46704
237 475 815382
238 476 729343
238 477 202287
239 478 706187
239 479 545923
240 480 968952
240 481 480167
241 482 399195
241 483 380536
242 484 577833
242 485 67462
243 486 221172
243 487 631726
244 488 216427
244 489 201540
245 490 963740
245 491 697391
246 492 259652
246 493 636797
247 494 627278
247 495 422285
248 496 690671
248 497 499178
249 498 887040
249 499 207742
