500 124750
478 344 670402
61 169 403144
226 362 582050
18 390 939395
368 496 106
167 99 320497
96 398 49834
152 153 399736
74 113 26602
194 186 182244
109 98 320637
139 65 981681
370 266 68504
370 385 563000
3 245 243216
404 418 676708
61 246 910028
230 319 359410
337 110 391826
168 405 284587
342 467 370125
86 290 606504
340 5 798020
47 281 174460
89 56 55733
56 257 721198
364 496 237489
269 45 503792
482 87 913528
118 130 254861
122 298 142813
82 157 9762
448 24 562752
138 430 742788
44 34 512540
58 484 344549
420 274 489376
328 349 578363
175 405 810822
36 424 950080
282 293 635290
250 463 595447
200 347 915842
450 225 158517
456 278 27908
265 471 102924
71 0 378575
64 442 449430
96 387 61425
5 241 643346
68 260 405727
186 71 227220
439 110 532598
301 40 510361
478 292 774508
448 395 479614
382 384 950194
77 148 671135
456 243 824305
356 77 69566
40 287 650281
470 173 53153
223 216 777999
420 188 180150
108 129 321813
102 195 57918
386 291 521531
29 357 618165
141 451 453877
408 102 235607
3 176 657866
247 244 969556
140 228 623981
450 94 732917
440 350 149076
123 203 878545
420 270 756607
17 467 785713
121 139 789448
421 227 239912
44 159 704438
165 243 117304
64 460 41462
386 265 774129
192 212 358075
375 193 241499
307 205 139667
17 398 39460
199 125 968575
166 13 702882
6 33 424632
483 321 258433
399 255 731928
231 261 594508
200 63 704892
247 46 30218
236 27 330694
268 29 904149
16 455 103196
451 149 161776
334 381 662576
113 267 968435
28 283 328452
99 415 410731
407 331 149448
324 313 955844
2 271 231249
431 387 926006
375 247 935749
236 265 357929
52 6 991060
372 361 55139
284 309 769274
35 183 607953
96 265 687613
382 125 707211
385 193 457538
259 427 193929
134 97 600136
224 222 290125
227 65 852387
90 487 923570
124 390 482228
39 63 203538
405 389 774334
36 301 163359
4 438 459062
265 459 426831
34 53 63262
174 106 59595
300 334 143567
379 48 997767
441 82 860975
91 72 903089
313 357 895978
191 232 827119
135 153 87614
428 147 420038
465 178 314935
470 202 156523
409 378 833633
272 402 570908
342 211 707181
193 100 933531
180 474 68579
492 371 437436
88 130 541838
354 281 471380
283 192 681162
183 89 717791
65 452 179537
337 80 536479
108 157 953853
361 281 195513
79 396 98894
371 405 384463
227 397 277604
405 359 735905
303 194 714840
173 319 893997
458 174 389951
91 328 965828
288 391 932672
220 327 425086
404 284 785923
149 67 872477
363 242 267774
274 182 622564
28 146 914738
83 409 626516
50 175 830957
42 487 282521
218 318 629923
419 405 105764
343 491 788741
481 297 445238
342 168 202655
332 47 27343
109 432 570892
209 386 288785
411 495 658459
292 486 181049
417 16 982511
123 115 207060
356 100 360358
171 215 939559
102 187 103448
260 201 409530
73 28 454675
342 50 80411
286 3 346239
186 96 707637
94 496 514651
449 120 724113
435 413 373177
457 331 250290
306 404 275433
167 276 264945
402 14 27937
20 151 721065
126 143 701799
194 187 126488
429 93 543840
198 214 541965
6 126 14647
443 211 630066
131 129 786852
126 245 473490
118 335 692234
266 260 411623
380 457 30367
2 155 592664
390 489 498337
22 382 40736
445 322 893181
262 279 499608
338 97 805042
87 2 647129
299 4 834842
228 182 803219
387 170 445340
353 146 590590
416 435 644177
240 55 4317
496 239 629383
366 385 564206
456 306 514273
312 335 180985
174 107 171495
94 232 444670
84 220 890574
232 260 358253
59 159 595749
