500 124750
45 342 337395
390 38 389968
231 427 391488
458 482 345244
261 81 502109
206 128 476869
255 217 408094
226 422 316251
398 427 402011
382 50 382275
40 262 255568
324 451 95299
283 367 448216
95 420 228143
269 440 386095
91 370 302609
350 70 384538
90 244 409015
8 24 348278
337 198 412958
471 266 283753
351 433 216031
104 143 362025
350 25 468528
305 356 355345
31 495 211488
430 488 466207
108 342 158664
416 322 382984
34 313 320353
373 72 439789
347 211 372568
492 396 348007
419 119 397488
432 484 312228
73 34 374793
457 101 288136
237 258 378476
461 170 302768
272 20 257981
135 408 487460
347 328 237175
48 40 142494
489 123 145222
499 278 348015
490 30 414122
228 206 349243
420 438 341790
158 454 214439
308 164 181848
226 87 379379
417 458 226391
192 196 270269
375 273 252335
452 181 242601
340 492 366212
98 191 162176
150 375 272949
323 13 299149
199 215 378985
199 12 260347
440 476 263776
359 341 345854
326 328 303070
368 165 356956
375 18 228799
173 349 380859
220 235 305060
217 342 284571
212 482 300441
116 224 403559
321 326 354949
315 473 333744
343 79 325334
121 30 399359
184 308 384492
317 22 345824
367 315 307944
363 425 394851
25 118 428246
453 277 343993
144 460 219796
22 216 317541
289 430 411772
78 458 317577
477 350 383397
47 444 451761
494 485 143927
465 95 276349
363 443 167296
433 455 340952
498 226 316561
371 188 372676
10 378 196110
309 146 306890
107 317 357052
23 230 225364
456 418 365444
26 213 603658
454 196 451135
466 338 246055
301 452 226029
401 52 373297
134 482 371930
240 327 243729
19 49 174308
124 397 354588
393 211 163495
230 381 351728
93 18 103542
284 285 165900
230 384 325722
324 273 331631
346 16 349037
238 94 382231
478 234 172259
123 33 250179
176 130 501725
241 321 483724
487 112 377445
209 404 477764
153 132 416678
154 198 441431
156 149 269110
411 450 389280
462 467 183859
173 140 266307
103 71 317099
475 67 404231
205 495 245686
182 461 271751
430 370 239802
36 211 386705
34 68 319050
158 302 342389
467 197 368491
378 446 244348
96 156 434777
221 176 337008
59 258 180003
372 60 362308
282 435 364086
58 314 303524
451 495 296165
305 438 514414
404 79 331178
4 339 430523
119 224 457506
218 294 269803
494 19 223923
456 49 303610
370 143 277099
46 301 445462
328 370 406916
466 93 493993
319 375 344772
148 98 551415
28 401 395539
45 446 290631
216 264 391606
487 364 323207
21 240 384269
289 411 368714
276 441 184167
216 226 336244
460 389 244428
308 122 266001
374 483 506339
175 65 262130
128 354 358858
187 301 227060
499 152 305915
4 18 409651
65 308 292104
190 411 183446
20 400 261424
208 394 329069
21 110 391709
409 448 408283
149 432 260903
160 284 309458
348 149 240558
268 117 378007
269 195 429585
379 126 204820
436 490 305080
232 414 287727
473 230 444327
443 309 442423
267 59 321399
372 99 369789
353 372 437933
197 303 257836
106 423 375494
346 205 382331
189 60 380373
388 22 380843
150 60 397508
392 245 251401
401 55 359031
359 98 403592
304 351 272024
448 121 470257
479 2 286455
42 137 320927
303 232 366325
495 324 270170
459 417 439344
434 260 327297
45 466 234255
120 491 376020
305 136 362981
37 217 419537
106 429 293434
248 103 256686
286 235 313897
0 202 181101
287 234 296475
84 24 480486
351 368 237372
348 84 512531
370 456 187382
298 393 388523
319 457 408453
396 313 278056
394 435 400163
73 391 514706
374 375 265195
9 311 313822
249 464 265925
378 190 388580
355 41 275460
179 120 418431
186 182 127856
86 314 330280
225 477 262032
344 204 276965
382 56 178932
429 228 380715
91 159 349810
244 143 449268
198 323 239553
420 40 312256
20 458 369453
403 142 411036
451 244 463772
109 97 231321
432 47 399692
270 340 364136
264 477 480172
414 418 350065
112 75 214340
452 487 357611
53 86 385146
280 439 491967
216 468 244338
42 337 393626
370 190 253316
102 103 257094
220 465 468705
244 377 465845
301 42 299323
41 222 343967
66 43 287131
159 170 255077
491 193 576096
204 52 492073
163 161 170363
307 375 283911
101 7 505027
168 123 227332
488 78 268397
137 311 283037
193 271 379429
218 313 337730
195 378 287895
275 160 309575
196 296 222255
68 479 482735
36 185 329754
4 139 378972
100 323 446301
223 430 232837
29 468 502341
480 306 278438
245 373 428548
485 234 347532
242 475 319939
386 160 217668
191 23 490215
489 387 375875
441 80 276006
89 234 318072
6 204 405984
132 222 430313
137 302 326996
33 168 149961
388 295 411654
136 370 476841
48 173 264869
60 477 395975
101 24 217432
220 342 273085
235 426 263705
99 380 465875
228 219 229606
433 146 461235
52 148 436459
388 277 347493
406 141 353617
97 58 182354
213 315 303159
172 282 346440
301 320 343703
415 169 364478
356 446 399869
319 141 405851
288 126 290001
426 449 477656
229 395 379010
459 267 268655
473 260 413621
480 98 460847
185 320 381842
290 243 283832
230 210 217205
149 26 309138
379 244 270727
445 47 296528
139 124 331600
216 8 221937
179 441 276808
306 206 359646
96 101 396600
253 482 352584
424 46 511762
94 464 295264
299 177 220696
183 94 402750
324 257 287203
163 359 182036
273 149 324599
259 247 349987
432 187 370732
256 84 324970
215 188 456247
290 73 394213
4 211 409717
74 394 471460
14 370 437462
240 163 450066
216 386 290030
428 268 321591
206 209 335724
32 47 270965
357 482 451052
396 81 298411
394 294 270011
262 422 203285
152 456 337483
490 375 388985
494 160 221639
432 219 389748
34 378 243118
251 473 388412
162 71 331204
326 492 161872
265 427 365595
480 486 309083
283 422 500602
72 57 426962
263 70 360275
351 107 196094
423 35 394791
75 89 313782
199 399 281399
234 8 364381
200 371 217905
138 478 402343
319 225 357320
329 405 282196
485 385 305190
332 378 544996
459 384 298676
234 147 386378
496 13 213307
158 375 293956
125 416 326950
450 182 372309
265 401 143158
115 289 321290
385 217 428143
135 274 396265
203 462 279858
181 9 498729
158 157 163000
240 355 392015
34 124 178270
240 266 377025
313 52 299788
83 105 280750
134 184 425476
42 187 362501
406 449 181418
311 83 274095
459 179 304683
234 382 252862
461 68 235534
73 249 292403
427 97 448812
495 290 395990
96 83 355776
41 478 330927
1 378 237406
244 373 286734
202 123 276553
411 215 333066
257 179 295592
356 332 155781
214 23 344630
345 492 141341
320 59 276336
284 446 387848
271 389 249283
380 395 340592
271 246 453738
219 188 246880
492 276 264198
409 87 455383
235 264 443613
96 77 287629
265 37 223770
455 164 220537
314 410 377937
421 148 236435
439 129 498749
427 328 189815
387 0 405191
496 432 178346
406 304 326215
446 496 378223
63 102 334641
357 306 528947
388 107 196725
440 187 326558
204 348 179146
302 46 405436
84 174 491369
196 19 301128
12 368 297553
118 74 431362
342 279 625836
463 313 316663
30 275 353852
183 493 269923
212 17 342743
257 332 221139
436 477 320841
166 498 327750
437 167 452186
69 58 313187
396 493 253623
160 97 349343
121 56 395448
53 418 365925
360 45 323487
285 407 293233
485 294 401844
326 430 359674
244 217 499848
99 163 348779
