500 124750
139 359 560822
416 164 355940
277 289 645310
247 229 308112
254 354 413387
325 201 345965
202 138 421169
0 96 326684
219 473 180133
313 271 613276
260 320 360483
311 78 280971
358 384 638695
276 89 220497
172 199 219619
363 214 462428
221 160 345988
457 100 364383
210 335 411879
408 127 184958
412 22 208963
155 437 353361
355 193 439084
345 370 520716
360 434 277485
454 38 55517
340 68 511483
292 232 379839
277 33 555616
108 45 445535
62 492 282983
466 118 505319
88 352 607713
467 372 82047
17 330 430162
1 63 637827
459 305 481737
91 409 310354
161 312 450144
122 22 112899
4 167 583234
250 218 303695
466 415 110325
446 8 339212
98 382 322990
216 209 258332
306 90 515295
467 360 545418
284 171 300913
9 281 114437
480 415 226638
178 425 560602
227 440 368174
468 20 613755
437 192 384441
46 29 403260
292 431 154393
370 438 507368
220 8 22869
303 294 346876
183 114 417515
238 101 547559
137 417 607741
497 170 276726
440 161 90561
135 105 406487
343 11 400558
185 392 266600
135 405 475085
152 8 572720
118 383 387343
333 393 33248
50 238 175983
155 407 266709
388 290 463488
420 341 418612
170 53 253876
305 90 667775
439 496 501675
403 138 70686
378 333 485453
411 419 621187
279 2 415017
482 437 244090
84 358 623678
426 51 193361
438 437 579107
258 297 542013
235 433 485846
434 182 342418
449 153 224203
352 184 493861
161 302 154255
480 292 429886
326 494 225940
126 159 269919
152 221 386049
490 111 54832
256 42 208500
85 233 392971
364 36 276427
92 469 304897
29 180 313859
117 255 481683
79 278 293533
369 189 451331
1 67 342282
479 169 73352
312 307 660222
322 232 649233
77 345 298368
14 113 384296
493 490 770498
70 369 329399
356 460 255962
212 148 189239
430 268 183232
341 386 372781
103 406 106336
384 121 473230
303 169 636873
309 300 468666
320 487 364509
443 314 390648
445 453 467477
18 426 375065
462 105 304145
235 410 349423
424 296 334289
499 200 471338
252 93 430260
414 153 566795
90 43 282897
446 367 356309
497 344 251103
350 475 501559
442 200 690664
146 171 473147
284 399 355724
241 337 178641
419 490 276613
19 186 401421
431 203 521873
414 103 151790
415 218 232295
298 264 666411
82 411 585151
261 16 536566
312 421 453771
109 7 323254
203 295 276624
144 493 645753
2 169 519147
298 138 390842
181 398 449473
397 476 620384
480 181 578783
410 375 305875
146 95 493473
105 191 431671
176 58 331435
123 199 96865
194 4 311917
246 386 421364
145 311 211524
430 473 453493
75 251 194303
160 277 239016
190 359 373533
264 317 313725
355 382 479849
281 465 246338
445 245 133941
454 157 250843
448 262 278853
40 151 135639
277 136 167638
25 220 502430
218 180 331423
258 43 132057
175 259 464520
107 166 509196
249 394 449656
415 385 118379
75 239 361610
292 54 402823
296 123 86747
291 322 573213
308 253 502841
85 95 280649
458 137 562878
353 33 482689
257 317 60923
397 231 474082
405 124 335439
358 181 721810
212 152 636433
247 203 364305
146 25 597172
225 304 241135
143 461 310870
363 387 378569
54 189 494384
48 177 517389
126 222 186227
301 185 352962
269 80 335553
156 331 738718
58 4 454818
257 499 410470
360 351 153794
102 470 397209
24 367 281566
120 385 222929
388 130 354214
366 321 348274
196 198 417687
352 55 471349
386 142 522370
331 228 383350
407 486 275141
136 483 366853
271 325 115738
374 495 487681
289 171 411765
201 439 459935
431 464 303596
291 65 170552
17 188 508844
210 224 363711
339 242 170275
267 4 217954
359 16 389177
376 332 599971
497 86 213735
177 139 430812
464 228 284387
230 7 646127
26 356 167106
39 356 217012
350 180 659515
385 1 317178
496 237 688926
396 393 187496
341 47 367780
127 42 318534
303 25 481700
468 189 784700
418 83 680969
403 389 176550
242 442 451288
57 246 536041
450 129 510349
294 118 476226
469 77 451068
369 18 176279
359 336 396260
322 330 163342
336 405 343868
22 232 472056
221 430 379118
18 264 344567
333 439 474883
259 297 130093
93 444 569336
439 370 341513
488 131 314987
431 188 842240
442 414 645075
239 25 489566
155 122 180309
91 20 431397
293 284 682284
473 405 353559
148 240 317108
152 39 310561
457 228 121089
482 427 230303
418 13 577923
450 314 415221
130 289 420574
195 86 267651
285 104 417432
413 431 518934
385 18 60657
483 266 377583
26 233 398477
403 90 470064
473 454 202414
217 187 301389
171 319 356235
308 239 565507
247 418 312446
377 187 386702
69 173 375545
333 235 409493
142 186 520777
335 310 516315
57 243 89020
314 199 219444
81 158 395344
248 107 511965
412 58 534034
328 484 213460
39 91 322520
184 131 592755
351 348 474313
73 361 294538
366 406 496559
13 340 580427
240 142 619496
204 259 626163
34 88 295531
105 432 399498
21 364 142207
286 49 110885
186 8 717360
220 43 275091
278 46 610402
14 69 275880
409 212 304699
250 466 347614
428 293 476002
102 317 690923
311 55 327720
13 83 500225
424 26 490142
246 388 208637
410 472 124401
359 116 588055
496 484 134949
320 300 529605
485 112 439493
457 447 479111
482 152 408377
18 283 430029
325 146 290431
250 4 417196
347 361 523157
435 241 461557
400 162 171974
360 463 809473
122 349 463640
90 235 175508
401 457 421635
104 184 102063
229 168 124601
262 472 283750
258 379 290824
132 432 175074
143 310 672963
189 366 486550
469 9 183242
305 182 161039
269 160 432655
282 20 652414
21 247 666675
18 376 444335
220 106 209275
453 439 212783
451 69 229979
119 173 450359
32 44 327541
41 209 579531
350 188 142090
113 178 412213
351 454 649254
166 332 127136
327 241 122103
467 326 272002
283 339 372004
166 298 344035
460 169 377127
262 445 110557
71 188 277260
334 399 318099
493 5 650527
351 497 314206
86 372 334944
299 474 361379
147 438 185459
364 207 143053
370 35 149774
190 398 622704
496 209 595134
103 265 224846
105 9 434162
160 449 461099
324 76 207154
257 457 435757
106 66 175745
66 292 303473
32 73 25709
65 366 347947
321 205 108899
422 476 598132
336 442 673092
75 51 669751
289 205 581691
304 43 527092
1 221 396094
484 221 222964
111 103 442475
34 333 251775
5 116 322127
69 144 315356
57 471 140751
458 222 436314
198 96 262919
211 427 424189
416 325 774723
358 343 325782
172 107 467494
249 404 741705
252 397 457281
23 257 265601
470 395 29504
3 20 308343
371 230 577623
243 407 535974
445 247 341349
114 154 510410
279 192 360551
204 104 583420
316 246 247809
496 344 492006
72 310 529738
287 469 202844
198 326 97543
481 390 190025
286 362 82862
340 390 508992
358 459 381185
469 448 70076
151 338 430788
349 176 662828
442 254 268559
150 389 472630
324 286 304982
271 58 200959
349 180 477271
57 337 605087
417 78 548671
256 405 552097
487 76 46133
57 117 583230
361 498 514667
302 369 339894
169 160 355937
371 106 502653
179 448 338454
273 216 432364
282 427 305156
473 112 629143
79 350 349300
36 155 126367
482 270 440641
23 240 466598
107 219 427276
116 84 652582
76 153 290529
402 151 654696
479 494 592049
496 315 362501
31 492 372326
61 412 228449
299 413 254638
263 325 503702
193 162 401349
114 53 177761
338 462 438856
234 206 593463
246 468 528736
153 456 143160
170 2 396395
496 215 433326
357 232 351389
150 125 545723
206 120 143041
499 132 625969
126 217 366034
204 225 493253
315 92 626798
129 452 663728
272 96 330872
66 83 386549
246 404 502223
353 238 307442
86 89 182875
478 52 518391
263 448 322448
346 357 322805
94 189 646927
295 105 607383
286 268 403046
109 115 522430
212 312 430320
389 36 380251
324 79 129226
301 126 151342
72 71 398798
360 75 818912
487 382 252493
261 103 145480
76 212 302717
93 358 615163
428 398 665692
392 240 574725
438 55 511742
5 378 127913
68 57 163454
265 472 265563
54 268 345645
357 31 495616
161 387 391944
451 487 177981
222 0 67126
120 307 389926
42 30 335477
21 374 380225
368 435 431429
352 297 175299
249 278 367625
355 65 301300
129 404 106521
482 274 441279
147 420 573861
371 120 448512
17 216 298434
436 450 397118
139 235 228331
251 122 451731
206 344 588988
137 33 466667
128 64 229357
334 380 584073
475 75 609270
242 278 495647
454 442 502577
40 348 203025
134 73 151940
275 363 41839
350 484 271908
64 316 172661
135 158 405884
329 314 420922
263 276 583542
14 299 382418
310 17 352690
323 131 288629
417 263 702506
402 429 560658
105 323 489774
9 287 41968
168 298 295954
143 336 208154
387 50 596239
407 69 303102
103 163 408992
140 161 331843
325 230 748109
242 378 367246
386 323 310079
373 44 104956
340 42 360253
116 253 703646
78 208 349505
236 50 51754
469 34 179675
66 404 448055
282 263 613655
316 219 411904
52 333 436189
237 305 160737
263 67 241804
485 142 179455
171 106 53272
312 199 432136
120 430 171173
166 309 79326
120 344 451030
484 28 94214
133 198 434408
189 57 636976
265 313 451697
309 124 72924
181 476 283559
495 392 374573
0 71 269412
480 119 541188
324 346 512711
119 386 110851
140 139 592349
51 254 381829
169 8 667359
187 30 306170
196 90 16264
265 194 221204
300 174 523900
499 265 415992
326 56 235268
218 456 176476
96 301 274861
174 269 513729
26 9 199081
402 436 663783
9 348 402741
99 356 546462
479 114 326344
76 174 319048
27 213 98900
213 87 544589
119 0 325723
331 379 449355
183 102 425149
165 231 375015
313 143 203016
297 190 240145
40 365 241090
88 362 429519
104 431 490493
80 42 119251
258 466 355553
476 343 349173
481 94 103272
424 161 308137
484 15 295667
148 37 401808
192 268 186305
324 293 422099
472 319 349637
255 3 54408
66 2 176466
243 379 531577
371 218 357981
80 46 494437
195 227 483808
270 331 161059
391 137 303327
52 67 388737
487 229 147893
254 352 518681
60 492 415530
25 299 407400
381 318 613878
313 375 298786
112 290 615573
216 358 442119
115 58 686728
59 33 383345
268 295 131439
154 155 212279
17 148 499813
293 169 87533
480 365 651506
101 463 12859
288 234 510974
234 152 572129
398 155 302030
453 139 676270
369 79 553729
291 132 595324
124 116 384259
