500 509
28 29 798142
374 375 155108
465 466 67462
224 203 78421
427 428 473747
210 211 132772
244 245 365182
411 412 72018
14 15 755952
323 324 574820
6 7 550509
398 399 497268
246 247 911757
191 192 401127
92 93 735209
280 281 3728
329 330 149889
211 229 837178
395 396 128721
261 262 665820
80 81 509855
460 461 968952
439 440 544068
412 413 901937
313 314 456514
379 380 626169
285 286 67792
363 364 928114
420 421 173908
208 209 282867
255 256 325611
249 250 183919
29 30 250783
27 28 792887
403 404 566971
364 365 466457
295 296 647158
63 66 880888
410 411 264111
305 301 189107
227 228 190320
297 298 263101
155 156 806170
463 464 380536
378 379 836807
11 12 92197
206 207 985613
120 121 739097
234 235 727085
489 490 993280
320 321 15803
78 79 682837
477 478 499178
15 16 992057
491 492 591476
70 71 910064
417 418 915672
67 68 568542
147 148 183343
87 88 677081
44 45 128577
443 444 267567
392 393 297907
270 271 141386
432 433 518741
260 261 585835
82 83 344142
375 376 503362
430 431 585748
68 69 379619
32 33 407254
454 455 46704
438 439 432807
175 176 716288
98 99 407053
347 348 649494
149 150 203428
84 85 663965
457 458 202287
404 405 191806
416 417 809099
59 60 233236
429 430 851214
109 110 179627
444 445 942536
125 126 332471
211 212 813592
282 283 807104
252 253 703073
99 100 750284
455 456 815382
237 238 116615
408 409 151554
299 300 53759
266 267 862839
188 189 274128
288 289 345444
367 368 159945
452 453 177494
162 163 876320
35 36 721699
276 277 13677
447 448 588594
23 24 25451
201 202 351335
107 108 617265
478 479 887040
167 168 411905
365 366 791205
273 274 177660
382 383 8264
72 73 912457
414 415 933674
53 54 875563
116 117 983596
40 41 763277
212 213 270350
358 359 499841
37 38 737165
114 115 783122
36 37 505515
90 91 575754
333 334 580612
135 136 411597
64 65 108438
370 371 952612
312 313 967098
171 172 909372
228 229 971848
247 248 774980
245 246 591249
397 398 496486
326 327 142479
318 319 535978
142 143 422676
218 219 565148
290 291 864355
381 382 663624
359 360 805241
58 59 841317
441 442 357065
306 307 644242
215 216 955535
49 50 203734
73 74 559643
16 17 382682
493 494 666908
324 325 72404
183 184 739210
229 300 369082
355 356 202288
442 443 496225
232 233 390864
115 116 329009
371 372 960958
4 5 916637
43 44 955531
253 254 504874
241 242 993509
352 353 443681
385 386 513007
229 230 430352
289 290 790061
368 369 355670
20 21 805140
287 288 450935
346 347 957795
192 193 86753
256 257 119861
91 92 21203
336 337 397585
281 282 798451
328 329 570224
472 473 259652
127 128 86225
128 129 771738
337 338 606253
205 206 223727
101 102 709174
122 123 466706
138 139 939165
213 214 914605
272 273 283568
298 225 225301
391 392 243375
284 285 484896
156 157 801308
131 132 707171
8 9 686477
498 499 516210
461 462 480167
384 385 892194
194 195 830333
216 217 604906
268 269 287180
467 468 631726
291 292 23081
61 0 87419
202 181 574669
111 112 686873
350 351 668072
48 49 321997
481 482 492861
46 47 479518
330 331 418968
166 167 45694
182 183 494638
132 133 443093
233 234 981744
179 180 398936
88 89 159849
148 149 713891
238 239 693875
483 484 537144
458 459 706187
310 311 201575
258 259 839362
462 463 399195
334 335 851271
184 185 440227
405 406 336087
226 227 281760
468 469 216427
354 355 380872
145 146 365181
311 312 146907
361 362 679738
419 420 281519
21 22 792978
203 204 642852
331 332 228592
71 72 746934
41 42 411125
100 101 137154
342 343 277843
137 138 635678
95 96 969306
267 268 622347
431 432 137178
466 467 221172
33 34 927032
129 130 322377
389 390 499423
390 391 435413
52 53 215648
200 201 32413
181 182 104211
110 111 200892
259 260 37515
193 194 211478
269 270 708112
104 105 759739
425 426 130512
186 187 671623
57 58 53083
113 114 85716
54 55 356954
45 46 744815
496 497 656234
77 78 139685
9 10 468966
377 378 758325
51 52 444492
453 454 691425
66 67 446442
163 164 13931
479 480 207742
10 11 274223
172 173 191371
494 495 662902
236 237 925437
448 449 83991
292 293 680298
360 361 236383
357 358 116150
369 370 551064
168 169 937831
214 215 84519
185 211 874324
152 90 775704
396 397 142852
434 435 438794
296 297 199775
231 232 145389
62 63 611803
143 144 37360
154 155 519376
156 185 647117
198 199 402924
399 400 692283
339 340 458142
356 357 192637
165 166 741340
97 98 226277
22 23 101150
250 251 485608
445 446 914738
150 151 352698
161 162 136002
411 39 124446
436 437 892212
222 223 497953
257 258 616567
469 470 201540
219 220 872256
487 488 849388
207 208 381815
415 416 225579
170 171 839900
112 113 780217
492 493 795188
239 240 456733
322 323 959939
303 304 329840
153 154 485363
495 496 34699
117 118 89256
146 147 804725
144 145 448254
190 191 790264
47 48 521666
474 475 627278
196 197 12697
50 51 592513
464 465 577833
5 6 961209
74 75 575250
393 394 849159
