100 4782
1 0 836156
0 2 650307
3 0 919221
4 0 949862
5 0 698275
0 6 852060
7 0 969823
0 8 976873
9 0 920939
0 10 961872
11 0 792805
12 0 783792
13 0 847080
14 0 966134
0 15 620555
16 0 660641
0 17 698789
0 18 839783
19 0 840533
20 0 803432
21 0 936205
0 22 597688
0 23 790583
24 0 807247
25 0 768673
0 26 691811
27 0 936271
0 28 687920
29 0 978655
30 0 679227
31 0 686980
0 32 971225
0 33 796887
34 0 909269
0 35 737393
0 36 854720
37 0 827707
38 0 617809
0 39 950845
0 40 974208
41 0 931247
42 0 727416
0 43 751096
0 44 945503
45 0 721000
0 46 610394
47 0 571122
0 48 738605
0 49 742574
0 50 897026
0 51 826764
0 52 778325
53 0 680599
0 54 684017
55 0 886021
0 56 621924
57 0 568111
0 58 659244
0 59 782349
60 0 842105
0 61 653419
62 0 724346
63 0 563118
0 64 837544
0 65 673902
66 0 646983
0 67 706427
0 68 784486
0 69 861164
70 0 929018
0 71 594939
0 72 958987
0 73 802637
0 74 958911
75 0 888043
76 0 932492
77 0 812179
0 78 895276
79 0 944318
0 80 632459
0 81 805286
82 0 800880
83 0 796820
0 84 957129
0 85 887181
0 86 651213
87 0 746589
0 88 926924
89 0 863545
90 0 940045
0 91 883795
0 92 648453
93 0 934987
0 94 737715
95 0 880481
0 96 798290
0 97 658023
98 0 875635
99 0 805372
1 2 422524
3 1 906040
4 1 796260
5 1 482386
6 1 675559
7 1 821229
8 1 829844
9 1 760138
1 10 859505
11 1 601593
1 12 589187
13 1 668125
14 1 817803
1 15 796692
16 1 830516
17 1 864898
18 1 659890
19 1 661215
1 20 613522
1 21 888517
22 1 776425
23 1 598213
24 1 618508
1 25 571514
1 26 858840
27 1 779226
28 1 470593
1 29 832252
1 30 458643
31 1 854653
32 1 822944
1 33 605412
34 1 745651
35 1 896964
36 1 964947
1 37 645259
1 38 794222
39 1 872251
1 40 826553
41 1 892246
42 1 518726
1 43 548353
1 44 792164
1 45 511431
1 46 787727
1 47 753147
48 1 533628
1 49 901635
1 50 927791
51 1 644003
1 52 932008
53 1 848078
54 1 465887
55 1 717971
1 56 387255
1 57 750504
