500 17707
328 434 346246
157 128 880874
372 332 491081
326 76 447517
252 296 631603
272 10 529316
206 0 904903
199 370 7430
386 330 834552
445 399 672655
432 134 47985
129 221 925946
495 45 10646
272 283 805709
216 193 654458
374 400 102357
359 187 276657
269 487 309604
16 136 588531
201 365 218178
60 327 715750
298 192 113620
147 46 624287
207 374 154266
419 296 887502
432 193 805454
56 343 901422
338 304 136149
244 388 91966
268 127 347400
409 274 478479
38 24 405674
25 141 634932
93 57 207433
477 153 870384
332 200 183958
432 194 560768
363 357 449062
228 187 948114
283 69 524587
46 38 189092
110 313 678295
299 186 258102
328 419 975384
9 110 797990
58 121 577668
299 452 384689
237 351 58476
147 268 479701
473 368 228971
243 59 615300
453 64 796396
296 359 378259
91 42 948407
328 23 239476
323 283 447900
389 226 948507
475 366 148364
378 427 191475
93 350 696210
169 39 308800
277 185 98540
43 457 794774
15 457 699504
487 415 941304
31 85 522009
392 35 585611
7 311 19764
409 113 678985
124 260 138305
456 373 75295
264 78 616968
377 110 225089
230 66 989383
228 323 688275
491 303 832938
391 131 382362
221 455 167933
486 303 525028
465 45 665803
366 255 33327
486 133 149541
353 488 681589
400 134 266888
9 452 357897
92 374 24198
403 401 562815
2 450 539053
134 133 652626
150 70 985264
177 84 365874
31 102 402742
418 343 542781
72 283 174048
180 45 259365
129 279 876419
173 444 664680
456 181 962769
281 75 954618
220 442 833461
486 215 705198
466 26 823611
131 496 404478
5 75 297444
372 87 378186
457 319 107619
296 387 401312
214 6 22191
49 94 171765
235 207 677294
496 437 146732
334 90 148422
373 200 499398
72 239 686722
230 239 496882
210 283 423065
201 337 192080
92 473 96648
295 421 247833
287 2 327827
57 129 580083
419 493 274587
307 479 715981
470 99 261270
287 447 511818
89 252 18199
361 332 788178
334 364 697327
45 228 359652
406 13 208557
233 84 150188
175 143 798759
32 497 53030
308 97 428681
414 479 121572
203 138 539067
383 229 894440
56 207 661465
42 18 553087
108 111 446338
287 483 131056
356 235 718664
497 38 990584
226 390 504482
285 379 134392
160 430 650135
82 360 473940
417 335 462448
