500 1217
328 387 666424
250 126 238859
199 140 793606
383 409 328902
91 466 815857
368 268 832378
204 165 119357
276 65 25913
24 332 675150
314 385 955116
145 270 784426
72 238 210996
448 162 145634
263 269 60681
197 438 448379
478 83 910787
178 375 590129
143 296 645764
185 184 208561
463 411 737707
100 452 942320
42 261 690733
150 62 880455
191 99 61613
129 145 509277
242 412 583248
423 470 718869
211 280 582820
73 22 322803
73 249 503529
366 458 978489
152 278 382048
136 79 695425
448 394 450876
81 243 202869
8 6 819318
458 17 722053
147 2 247952
228 180 78899
96 388 539941
404 390 320051
40 91 710494
421 470 437130
3 116 497708
16 314 874334
325 209 956570
337 229 868144
458 398 78622
254 224 876004
83 368 319483
261 497 143916
68 65 906816
237 147 49779
446 203 522015
93 32 664882
261 388 779572
407 433 191086
355 86 8239
165 154 123318
175 171 964092
226 171 41848
232 159 517175
355 207 269406
458 36 483746
152 286 792007
183 103 496384
123 20 464782
239 458 533086
343 218 248482
127 157 839038
395 217 548421
353 260 939037
116 153 691484
169 223 951730
153 183 568187
334 362 679397
73 456 830160
136 19 39249
400 425 912209
215 352 576554
95 143 74533
418 412 485265
213 350 319371
350 482 858153
31 58 148040
180 291 555086
195 147 720503
56 3 459192
430 245 874113
31 136 37553
397 295 669634
153 69 235980
125 57 933562
111 354 302983
254 284 621821
495 454 561559
189 76 795958
473 343 597958
397 120 973212
309 117 306331
170 198 139487
99 30 532072
142 175 850741
86 402 240392
274 120 181316
102 186 81769
410 205 771746
490 228 540939
410 2 601494
386 253 481489
250 484 83203
90 313 266133
30 312 927948
122 370 962168
126 31 552829
77 138 582752
261 89 707946
350 95 465510
39 367 870960
194 43 821899
389 96 715222
392 326 392999
499 84 902192
57 376 958900
10 98 480840
105 19 731991
191 9 396450
418 19 911827
51 254 562956
438 406 240334
116 476 969326
321 223 727332
210 193 567626
44 431 495400
81 80 920496
10 311 9682
491 112 250449
131 273 766699
496 125 680820
231 468 300851
71 332 152747
331 469 95356
122 360 99389
125 59 136229
410 21 516642
244 22 406392
50 156 523003
436 352 780830
497 32 847594
409 335 998794
237 199 808346
3 129 17624
374 312 355644
173 59 103229
214 447 737830
142 363 666673
72 279 70450
499 348 377059
436 119 111444
100 395 182544
269 66 391096
356 264 205228
434 334 864802
220 235 412806
393 388 500829
13 364 770167
415 105 834332
142 74 440890
133 232 70170
342 109 202432
300 108 664166
403 184 92935
92 133 726858
255 370 260125
191 60 145107
197 112 32893
237 92 198255
9 316 594626
169 102 682502
275 449 369856
238 263 228102
134 276 798448
232 383 347306
314 26 321556
0 70 397750
460 29 241334
379 315 195940
58 125 209538
467 97 429656
151 482 84353
306 97 28572
2 351 943938
286 409 763834
209 132 686674
177 420 49438
191 475 461266
418 65 998270
485 110 471238
32 475 74416
159 28 947726
39 366 546569
441 163 990044
14 211 850876
397 169 329240
214 259 245363
214 142 338022
67 74 719605
470 153 52424
309 55 997317
244 392 469888
376 232 787773
302 373 17729
226 89 792883
192 170 248018
251 34 892182
204 209 535182
53 331 242408
284 354 750147
430 346 506586
16 250 185604
128 95 296426
11 88 991268
113 72 412330
442 356 715818
465 420 819408
1 461 71705
115 403 463093
436 73 530112
171 337 603618
407 185 922706
418 384 701144
70 299 103126
469 36 844680
215 261 914149
415 179 10371
489 67 292278
212 248 719617
314 338 643618
366 382 721486
356 300 457003
213 221 238787
385 179 424848
100 258 500210
127 125 960176
455 436 62161
148 276 77635
377 387 423986
349 226 32882
235 456 75164
249 339 50130
374 424 326602
37 353 493935
480 295 522101
479 323 149725
386 123 644976
463 387 517388
140 197 539708
311 248 970308
262 127 879090
65 35 462241
190 277 790441
347 409 659578
69 23 530229
206 358 494367
374 209 610706
464 44 363358
450 244 516188
451 461 17903
159 4 293424
395 274 382229
227 154 911259
446 385 316767
448 80 560891
49 196 610885
272 399 801449
54 120 969630
472 480 230889
188 198 877550
360 103 809853
290 300 177630
261 174 428652
110 1 754680
140 381 715692
207 74 448812
199 18 68236
11 333 797731
308 468 342118
308 153 932404
4 286 745475
336 232 680446
81 365 542915
201 250 129195
252 214 807170
277 368 750584
198 67 563411
418 183 427822
153 188 415286
57 454 855670
33 110 484514
144 344 493316
417 39 542449
406 192 534286
212 114 957997
81 3 238458
129 418 227839
142 212 723016
15 95 623266
63 331 282309
336 145 350008
60 337 230509
330 386 247682
404 441 504096
171 247 450825
100 292 901950
297 285 801764
81 492 999375
386 322 496917
487 329 777379
209 158 173583
175 469 621691
75 111 851377
86 481 594662
57 244 766999
383 162 647767
310 35 101
158 117 24489
323 290 638209
24 30 234644
194 265 146576
214 283 468822
253 306 42729
16 267 677421
182 93 925409
362 349 863797
415 496 149318
191 462 387662
178 401 56444
344 194 136213
219 240 46150
427 142 235821
386 74 481663
306 168 600364
184 439 238459
452 306 360784
11 342 724266
365 207 241695
333 291 949146
68 4 277276
142 411 903120
101 56 302335
336 389 975853
478 405 313979
39 37 344881
366 356 673985
155 229 296757
279 479 626303
275 410 964880
151 137 528988
132 18 339376
138 79 705485
303 174 934847
446 409 462471
54 325 261308
171 17 132793
51 100 682045
424 221 273122
348 80 154918
488 379 370864
132 268 809131
210 206 553413
295 437 802024
103 292 628847
446 194 48978
158 205 356523
428 210 29549
431 358 359354
281 6 18083
331 27 347435
119 459 650436
106 158 837517
116 496 908650
437 393 747537
213 177 656027
137 367 510353
270 9 710197
441 336 884680
229 427 553496
391 401 910370
454 81 352992
430 286 426508
185 474 102544
223 98 199985
349 98 202337
315 46 269534
331 51 214246
75 87 18475
434 319 742314
28 346 630771
253 485 322329
240 483 503807
126 22 5431
330 116 340651
477 73 797261
108 251 63440
107 35 787257
348 443 621370
131 446 491000
310 41 112776
234 265 875117
256 61 256403
222 333 939140
372 347 566829
456 13 265248
146 185 615897
397 177 972561
304 247 417895
169 335 842993
366 34 792952
248 389 316041
178 360 316196
365 71 313192
60 439 906410
26 375 837041
295 330 829096
66 55 279835
194 466 660778
73 68 371368
343 126 708702
403 197 654035
286 217 737209
7 392 678641
399 473 905254
147 451 248750
65 366 484933
445 194 979630
371 116 523949
135 377 251880
302 452 627017
32 294 721
475 357 730543
171 149 433235
255 220 5225
129 137 303078
178 329 946073
169 396 234705
216 38 786780
187 377 727861
211 147 146761
351 298 558566
206 426 471654
401 487 85872
416 296 918506
360 86 189052
151 227 392232
99 475 151686
303 353 245085
344 396 711245
494 66 969520
47 99 73933
246 403 482167
178 144 979457
322 489 194496
196 129 891082
486 4 14436
160 385 323008
395 321 527906
457 234 213170
89 433 805739
143 284 528680
354 338 606892
441 112 784210
84 146 165089
228 376 409341
12 142 861212
347 402 899739
253 371 371067
149 11 24914
267 198 115683
158 63 291295
162 439 499240
40 274 525205
256 374 904477
331 496 194809
436 42 19273
95 106 147370
384 231 686166
323 59 574906
215 36 253950
138 60 508253
115 318 651995
141 365 925376
156 203 190963
196 146 475731
277 415 999306
175 8 5721
200 92 184938
183 213 44498
126 445 607723
225 476 466589
174 233 651245
131 459 995842
86 160 764193
