2980 9942
1760 2762 318065817
2623 1841 608119381
2943 2744 890791533
1680 2444 322953841
2084 374 549862303
2287 824 455464666
1219 2897 722629344
2323 2449 244419358
874 831 304620506
2028 2358 842804670
926 1749 7218488
802 1706 780877709
726 1714 414950797
1524 2727 381588619
1600 285 541586882
2508 2688 805750860
2655 601 541627397
243 1636 705924884
1456 1402 153907112
1498 69 610379670
2823 2786 510023591
751 477 522937782
2586 1809 958798379
2862 420 487222101
423 1950 913636470
77 2331 532291997
2170 543 371623644
1240 104 599149592
2434 2313 252728019
2024 2469 401033746
2649 2235 149124069
1548 715 331487170
565 1243 248342017
1978 1668 755591985
2312 187 192576281
1976 785 432342321
555 1387 293935165
1816 2789 602446373
694 646 716162337
208 1689 877980489
2752 2658 96912085
670 1875 241584077
1423 797 444486813
26 2976 718697236
495 1789 175477373
1908 1186 281221796
441 461 403681060
2034 1690 247221530
2587 2642 390143236
2890 331 421663554
1642 2074 395005916
637 2304 65949543
407 219 351133756
2954 1468 97550050
716 309 554047064
399 1187 25145202
1810 1929 647411619
2441 739 97791696
678 736 633551382
2940 408 546769679
1515 2177 607157917
1228 2180 650759972
434 2542 56560141
886 242 759517421
1699 2583 332668942
1196 2598 354325647
2793 1295 27828124
2148 2499 854248607
2336 84 675361365
2088 2186 259188592
1095 271 923181962
2028 1743 785316592
2092 1483 711859965
1926 1650 264697885
728 2276 973849298
98 637 195626385
2444 835 6405003
2279 1870 326810209
1065 2207 315946987
1076 2166 556831371
106 2267 89276726
2467 910 784935040
2678 103 994337228
2121 381 24400816
1531 498 636003295
2600 1388 843008607
276 549 457948521
191 1252 156722720
2255 2083 560390519
1379 98 239098409
361 2018 577467058
956 20 710088560
1540 510 695807096
1901 956 5572720
1401 690 988285031
241 1169 787390630
1916 870 791821787
441 1857 767002402
10 1155 806266307
1379 2771 593913332
758 1490 95990640
2432 1175 480476400
1373 272 175718445
1950 2268 300170579
2634 734 806337610
2325 80 80741175
423 1508 948356385
484 1583 716293558
128 2424 201310303
2910 2417 19340825
676 59 118844758
2199 2339 332310974
564 1222 509185529
1928 71 889200712
1006 508 263923657
1468 1236 217298607
1286 1744 485987174
1651 58 482019314
2626 1722 778235198
214 2269 866266221
1 68 364669394
1966 2385 256754481
1634 298 655120523
2263 2581 643999572
1780 1732 292684136
2023 13 290065703
19 2009 871885397
2557 521 156134330
2057 2726 283659588
712 608 54524481
1326 455 777909554
2865 2070 549859516
2742 1365 106597601
1647 277 991633663
1582 1674 770200707
2295 934 438703963
296 1925 447963124
941 835 684368943
1603 1916 573149774
396 2542 682461440
2941 1883 325551421
2268 567 134347179
1515 2047 593105380
1651 563 352988444
1930 1412 462029674
113 873 338522360
527 1875 717014586
441 2618 260788209
1565 2945 906480974
2421 342 678137339
1072 2292 621334575
2482 2370 355399365
1516 1147 37116960
2067 2341 800081945
158 47 792937041
2353 226 887096773
1656 2106 957356141
606 281 50127023
2398 577 10574671
342 896 44232029
2738 1884 341945490
495 949 924924838
1669 1720 751880185
2353 2405 382249883
1086 4 397712910
2201 1182 928083340
2383 1575 992059189
987 2006 642981872
2850 1998 775163487
2651 1401 567831823
2744 2329 521221434
1207 716 435891353
1207 2716 940665861
789 1348 631443540
120 364 950287213
2106 1780 458600898
2665 1843 89467029
834 822 350131285
205 216 709278193
2305 1979 463222524
99 994 131047255
1192 1722 14832333
1166 777 658555204
1115 2710 558792931
1482 1584 228127238
792 2883 795895897
1604 745 43082331
626 1267 484656340
855 1420 602689029
2785 559 754317103
242 872 622267959
2863 1579 249394875
2796 2653 471122518
775 1097 167725287
2743 2488 358072895
1454 1626 94407661
351 1268 744265363
695 1983 315925137
797 1128 255007174
1496 1915 424439047
1751 1212 176738588
652 2232 503007917
902 1853 128335810
2975 2866 237116438
1733 1815 501500897
1245 1428 118295099
677 1188 488892789
1868 2954 547365545
1708 1220 634044717
284 730 273501231
554 2591 151384940
209 2012 746293522
246 1885 511944622
1762 2398 523498635
1833 814 246629296
2155 1251 127160114
1889 2964 757581440
1561 2076 983957578
2662 2917 400855852
1797 1409 524609981
807 1699 436160970
1120 293 750932768
1116 2202 427657486
2471 1522 240236286
2383 2600 123161507
110 12 469802857
1687 988 383022514
1070 1575 658765598
2774 2134 656830069
1540 1166 927797442
1933 675 724336725
2274 2819 954855702
733 1576 382550401
2721 1577 303479738
1176 1232 52703793
110 1012 274277600
2651 1236 665905945
1577 1950 932595007
1855 2553 359186439
898 1548 273035650
343 2079 767972791
537 2648 805731742
549 2590 272831913
831 853 2449443
380 2776 936140025
1008 592 362256449
200 2219 331953247
749 706 241844987
63 1759 685640887
621 344 654393435
345 1125 827652050
495 1379 995991090
550 449 242294288
171 1309 764123105
2545 1295 92167354
1562 398 115285158
1015 608 668988067
2184 2878 261912944
899 2832 523454975
1362 977 270998499
1060 1065 666159800
1117 275 826283850
853 1695 888044246
1849 2599 637157195
1165 2798 976149808
2434 2266 954422488
1560 421 848290571
2261 645 439027135
2964 965 584805912
1690 312 929798063
9 2707 50368591
1393 1156 103057028
1196 528 508049639
1000 290 113252987
841 373 410981780
1267 1041 841421380
2913 1770 890286356
271 191 67493543
1099 2760 95049091
291 2609 993167072
2555 1827 194979603
117 957 74073362
2786 1927 506585161
539 1477 866206244
815 2145 884720019
1187 1997 553671444
1984 110 118176143
2627 1797 718726701
906 1049 739758409
1161 110 512935104
2477 393 630371685
1554 2934 421869538
2803 1208 646451263
412 996 492544840
2066 1554 343654681
1667 1490 957359628
1464 289 294340140
2597 2755 521608227
2639 732 915885649
886 503 487859751
992 1559 667620249
2128 1592 117849962
2787 1805 260221332
1324 1513 784194756
2300 725 29960197
1440 82 466371141
1262 1471 397721665
2447 1817 93001058
435 1324 936827180
2582 920 163631245
2199 2132 657897257
2150 271 198926196
2823 994 803747912
1626 310 338698319
2774 1955 22308374
190 2777 613003308
2884 1026 156105968
1219 2457 639691011
370 1857 263711710
2612 2666 696903947
1323 1738 131623774
2261 1895 159898472
2039 1979 25015858
458 566 823671607
2194 1293 675164476
1794 1430 372704446
965 287 994685970
1685 1979 278667564
413 1364 610609598
1459 1262 196697485
2076 607 579476018
2952 404 868518933
2661 65 895316966
2076 1075 818475985
1315 1281 76671055
2163 84 627537734
2179 1966 910873620
2125 1378 442014602
1257 2715 702451879
251 2583 727056238
2684 721 451181443
2642 225 836900559
2862 2927 966563742
941 762 769501530
1730 1167 175579232
2887 185 753938859
139 1672 660986678
2433 652 885747762
438 2055 843712362
2363 2037 535578089
1929 1832 676515155
1411 2764 135180954
1839 1620 629145089
2703 40 51226324
1654 1145 797289400
2768 1492 292971909
1306 1188 422615122
102 622 678564187
1506 2082 632101164
864 2267 987107434
2801 1130 448368493
686 2728 268697651
162 1085 438604085
2772 343 211696930
2116 2835 61880419
678 2807 798913345
1445 93 759217004
730 10 404493578
2746 1947 171047239
1231 1865 777984014
2006 1921 845955344
1571 1369 520714356
2544 792 659726789
936 1276 525536601
186 1235 584498241
1293 1298 935413899
818 1722 716252068
2031 2355 542409637
714 1474 346524801
1103 2587 860373217
1289 2583 147609454
2689 1827 214856124
1119 1425 605711721
2627 2564 769716982
1429 1194 487623276
828 2337 211486159
721 829 782869045
2241 1901 60933776
1294 896 261831921
1981 544 275516957
772 62 627859164
1131 490 990894776
2803 1316 185684019
1104 985 48309297
1617 1917 686513513
1633 2439 721538710
2474 2109 261931834
1459 1043 325399854
1063 2799 804168104
1293 29 369568750
1507 1398 894164466
710 2854 911630787
2960 2949 126433356
556 237 838638088
546 460 371967168
790 527 107509813
967 1649 912629604
2819 1495 790084209
173 976 20167109
778 2316 775485427
831 1650 624251250
1010 2487 83781221
1828 1701 321330858
804 1143 180067043
1263 1637 988264499
1562 2154 895551936
1250 2626 241283441
2649 823 221545348
155 2832 792266879
2388 1204 116458907
763 1456 41493373
227 2188 575476651
2123 1602 369696083
2812 1906 216039508
1544 659 206806194
1513 2642 12966835
121 2898 947965864
2070 1097 47876369
379 2767 644568768
2696 1521 284738277
1424 2735 764375988
319 1538 16773535
460 2047 900505545
2570 296 827630002
2737 1217 310407380
920 2783 890431003
2339 1938 564359282
761 2394 22232684
1047 1177 614711113
2839 1083 311752218
2539 1974 893575381
2369 1288 343946943
737 1341 476578410
1213 2270 708024941
2635 2298 958965086
159 2774 562569208
2472 2751 650387527
2371 381 362176921
1898 147 561454978
1127 2109 401703829
1557 1653 640065036
2224 345 979655181
344 2265 178630834
492 2772 554891237
1579 2345 743228845
635 1590 635197740
1798 56 437687401
380 693 339365525
1320 2139 546209415
565 1186 332323827
1167 1632 760921404
1643 1303 428594394
580 1900 194996280
1651 1737 637512137
1877 2373 42846404
2309 1781 118896139
1735 2647 739913590
1590 2246 895664985
1900 912 218836066
440 2849 401163349
2538 157 596987306
