2980 9942
2894 2704 543848632
1302 678 944169657
829 300 11207694
308 2722 879318434
792 1864 288243128
386 1794 69563103
2445 1428 706697229
934 151 658186042
89 1904 931779955
690 859 371473403
2167 2322 542119373
2804 282 489171014
583 174 408142730
2148 961 718177143
161 1256 725411214
553 638 413873754
1264 841 828275277
2345 1442 615555813
1513 544 30799809
893 890 569521546
879 2906 168846149
1637 674 97601562
1126 850 294976407
2658 1793 163034837
408 352 850362735
2477 1840 713819950
1316 948 141946292
133 959 977025509
1989 1873 249233259
1069 2951 811946685
2104 1757 39579809
616 447 89237649
1682 1990 867927144
2881 494 729336353
2584 1689 280628811
2071 70 69614909
665 817 522205965
1427 513 602304958
1352 2909 505703927
1649 492 453393399
951 885 24919835
666 1160 334784076
2272 2504 842945093
2255 1165 517566134
1273 2062 405453474
2601 224 346800594
2966 2170 260619573
411 800 944060838
2303 2607 234965649
2527 614 229276245
1099 523 510713389
2507 856 529730968
1084 622 766625207
2694 656 277976202
2183 2235 190902450
2457 525 13431015
2263 1304 693354547
2874 1310 136883779
1244 1096 298275109
289 2478 129977390
100 291 891298569
1175 2182 184271419
1958 365 469446235
634 1194 692949382
798 195 351999415
1966 1299 220142485
2022 1203 600251798
368 720 663239527
1236 1436 292595636
1527 1407 436220364
1167 2347 926288166
1470 2635 598235346
1416 777 712545839
567 1210 761536942
276 265 669232536
1116 2599 95851034
1349 1355 317902036
1861 1040 821428155
888 2369 793249362
2963 2850 707945859
780 264 959588456
2428 1422 72388526
1531 2190 214310781
1120 2395 962064143
890 2480 26008339
41 1600 87491276
590 2656 163096497
149 472 818505702
522 1236 11079404
2811 650 744881332
638 280 769185042
1194 677 736294208
773 11 964686069
2895 2364 527048704
633 73 382624247
1774 723 928530140
2152 2414 433347989
2567 2813 844247263
992 2463 618088546
1240 2889 929034090
178 2796 144027072
2847 1726 59401512
976 2441 857124740
2124 1336 227909242
536 915 630677642
972 1262 192500177
2439 2705 586516085
2902 916 728921002
730 1710 915112404
1743 981 265243349
1752 2239 738555672
354 211 523372086
1456 1742 47165404
1526 1043 602938110
193 2476 886556690
2454 2429 832628423
2277 1586 32512769
723 682 70556069
2447 2489 417988178
2332 1811 891829470
483 2540 896558144
1124 816 526961689
250 2096 395156741
403 2809 474037303
2109 626 365257293
2582 1875 286701489
2597 1810 11055504
214 2106 760240855
284 1750 872508686
2181 2053 726262260
2568 1427 543815125
2849 22 692395711
694 2882 733265724
440 701 279081862
1232 35 49503830
40 1042 278105450
661 2887 482987394
2812 1414 611626428
2420 2288 526479466
1247 2707 68837579
2956 1036 149859855
671 951 60574659
592 2807 955803551
922 2015 576164763
197 847 927116127
434 1349 849488663
1805 199 483504716
1778 1531 784055855
493 395 250051156
2546 2236 540269086
721 307 780710064
808 2691 410267020
2213 1132 99030334
452 1553 522954374
1412 1564 5971627
2758 942 723298111
2238 1716 558111895
1218 2066 215400524
2789 2454 927906280
1162 2654 4074978
2291 258 662811782
2532 1147 745164927
2354 1741 369909069
2957 1637 251568639
961 240 313071588
659 1478 480205754
905 925 138269553
2157 533 304104031
900 141 817067539
21 1440 310215949
130 204 294399816
650 2726 872708083
899 1753 958570394
1262 2960 61044632
2556 583 250711350
2607 305 306356670
2604 2971 207099708
1184 1506 911478220
432 653 888074492
1570 1998 591345347
2485 1317 486334507
2491 417 166519042
635 1279 397834021
2776 502 345422307
755 169 233470875
925 1719 683678349
1322 1117 400041739
349 943 516711601
541 940 349725151
1286 615 717122498
825 2500 868913478
2740 661 877041362
156 2823 163428678
1952 2008 498718232
2352 2095 171585437
1818 346 285660976
2702 2829 324537230
2947 974 37239847
2488 1829 57656500
2656 1503 860722816
2427 2120 881279761
2137 172 469273561
1474 123 148170548
218 781 415324307
2631 2030 688007387
2122 2837 393646216
1466 2716 346288431
2206 1441 242731512
2423 2303 70428471
1530 410 988373099
140 2116 467554494
1143 29 162243569
1533 262 375123188
846 797 54064538
1700 1924 157546189
675 140 403668745
500 2104 925465961
1183 1871 622956635
1385 1588 864625469
1708 879 168480865
1984 2449 785423406
2974 2172 383205308
2344 2267 134153305
2044 762 230589887
1034 1947 923357813
1535 370 612231101
597 598 417039951
1113 193 45324773
2548 2801 563181135
2747 2145 862681888
2247 1338 759977147
1761 8 17706695
5 438 88101023
902 1460 975202980
2679 2099 937502861
168 1786 953666146
1641 1861 768717348
2502 947 609948422
1736 1866 272829773
830 738 296419478
2043 1777 627039812
259 2365 856981675
753 51 298699301
2619 1184 510241690
534 574 264315631
2853 851 156566429
560 1296 163660566
1812 2720 800684523
626 47 728610834
2819 1199 820766124
1161 643 494314980
2823 480 74889655
790 1019 571255595
2736 1976 522461198
2855 2290 533648274
2393 2649 567642262
943 2903 224642199
1857 1914 288996567
1381 922 899786144
1978 2387 374481362
2941 12 120935700
1206 1639 406345061
539 2849 448721071
1683 842 368352815
1678 1724 450313853
1003 1505 245767807
843 166 522187808
2229 2737 658307944
1590 2662 484533083
2506 2200 350507416
2313 813 566901122
1018 198 88253188
1473 2459 730425691
1379 1004 458409352
264 2301 501875786
1337 2865 197389958
1500 2149 513187284
1504 2490 954266095
863 1585 621194187
2305 778 105248101
2954 2284 158116728
2462 2732 847660121
2936 1607 659170046
1483 1968 893791535
1745 1566 25892753
652 231 189848035
92 337 368933227
862 1090 552322381
1297 48 411916223
1044 672 868472761
700 91 644738955
1146 1124 945238193
268 2152 229163774
572 2374 442442529
2390 14 336874620
39 387 755481118
1680 866 908648884
1187 1111 197637309
1776 1534 565428488
1644 654 979981602
2838 1233 737276842
145 1799 542140129
2159 1818 861420003
833 1346 395248943
318 921 270471173
847 2617 691781493
255 1037 159967608
2151 1445 193971443
1277 1473 856606566
1777 1065 867997502
821 2962 214761495
1497 2888 622939954
1415 1282 77953042
473 608 887027801
1940 2221 633210803
2870 2313 76238941
2337 907 634538170
1447 2978 716654311
610 2663 125216690
1136 1198 637058626
2481 1627 942429987
2748 99 908407990
496 392 838466514
2113 2304 953040348
2605 1994 362515580
2077 459 867919375
2131 1920 796041840
10 1690 873261462
898 1088 101336271
171 2642 595611241
2327 1671 309650414
138 2407 820504349
1636 1367 286020785
394 293 694683151
426 1219 286221574
2791 657 49851912
517 2786 949520705
1830 269 505356411
2297 2101 368723045
2651 2757 188063016
1690 148 227879036
1967 1343 277900862
1983 1360 907439458
988 579 876161183
1939 1952 279109360
1180 2069 673572404
1149 190 956458151
2478 2022 508467101
433 439 330107552
125 1417 2726599
1858 1467 935181818
533 1352 44089065
290 1697 472599879
2149 2930 12773152
2917 2406 538580806
2737 1161 194483159
2261 853 112384358
445 79 524712811
2312 1395 909977100
1787 181 461211229
2647 2896 948792342
1753 1452 953660971
1670 108 577301542
2547 32 664412821
1974 986 715933867
2476 2778 100302213
2399 252 382265649
2579 1927 491151716
1103 2690 946420697
1835 1308 705461349
837 411 600819909
1431 1321 244480485
2873 1375 425453938
1350 430 506037805
1293 2509 829571955
2 1680 32858328
1503 779 718857911
2136 2688 838645466
309 443 573939560
2798 1788 715822472
1839 2715 739088256
2437 1115 209551706
64 110 711980078
2925 1401 982449698
600 1953 954732447
1564 2953 510968620
717 913 386197435
942 2097 21985860
959 54 284383726
209 2108 29898088
2202 2413 615080328
1060 44 291964306
1501 347 642642819
2500 2784 933486885
1672 1893 473437988
454 23 622547752
872 669 176759770
2766 2847 129750594
737 2316 132980774
799 673 274356373
367 505 624197499
428 1748 883395046
1574 2552 456623264
786 176 829389939
1378 1599 239672284
234 521 663689905
1436 2698 911698794
1800 2828 217272861
