2580 813
638 1463 929176067
2003 172 179913267
833 1723 705323038
2195 743 680342741
1554 1018 599870984
2281 59 480645346
1169 191 325980363
1701 1981 683907576
1970 2042 163113063
465 163 85032252
1813 1634 629223525
1404 132 75174854
588 616 920497410
80 578 767197068
980 2459 279080912
653 2132 173557205
2280 1484 850709524
269 1566 214140042
1948 381 240708813
1095 1384 867137963
164 617 416436445
520 2004 176373493
1618 465 888137902
2085 859 508879690
2489 1684 492316090
1798 591 510463899
677 1488 79257082
2138 811 395646528
1920 840 299219188
892 571 536705247
1932 2250 451008093
2111 1730 510606383
447 1129 383112953
1888 1957 277623577
1333 1378 252031419
1222 2274 821558233
2359 1947 897190805
1146 1285 622789931
1406 394 72340311
1006 1514 648598587
260 709 88501954
2316 2501 457529956
250 969 656970684
43 1522 763726708
710 1926 503003819
2408 2282 843374044
2089 2048 652680079
1169 531 894537256
2443 533 607106869
1633 2085 90993686
1548 1854 568786888
1741 926 712306073
394 463 640259472
1404 1344 357878406
1661 2143 432251036
847 2004 409573092
1819 454 687024844
1332 2219 560844440
2501 1509 499799440
348 2536 562391305
371 2030 667434085
2547 185 934765013
181 12 650374715
102 1203 465656152
2514 2528 412508311
1745 434 887144756
1728 713 203198045
1563 777 193842663
1705 1715 104781221
866 1905 396975968
2384 1948 150970982
578 2422 373657406
2070 1360 229695925
2565 2319 322135325
679 710 203165637
1056 1203 543164322
483 2518 859572348
1741 1833 347078210
2021 1790 909579611
1404 2273 339603667
902 1822 751752111
1954 2403 271407911
1176 2266 18756262
2408 1643 851127069
1305 275 39683408
116 190 723103048
1700 1637 18148360
2153 496 938443545
1824 722 575543706
1723 352 539411685
796 575 979829352
1941 647 605599205
1479 2440 109941194
2331 1732 946994169
2541 822 257594010
824 1159 252021046
2072 199 979708072
2469 2117 710121002
2556 1156 617917596
1467 728 366110026
2503 1975 613556903
1594 1252 74344913
802 1804 269073722
2539 818 548893068
1995 2396 902016902
583 1281 25705678
1372 405 983045191
230 1811 934602119
334 1165 88392577
821 1167 101831303
408 519 531329904
2503 1402 613823468
900 41 704943950
709 1014 281478002
1190 1124 870477099
1366 1364 791476486
1528 2527 451172831
2307 609 42195161
3 194 315303147
704 1045 848728986
1576 2495 572326382
1820 2103 992226271
2439 1689 264109590
236 1334 183796398
863 2194 898608147
602 482 181476320
1568 1357 523511381
927 1940 24116892
2000 287 384218619
1196 34 269291193
715 1469 703367501
226 255 552167173
868 413 390634356
802 2070 802760821
1469 2555 234711390
1802 2423 895104643
2151 1536 873650326
1515 986 244587511
2172 1934 760986451
1481 2560 419376054
2248 102 683639771
229 837 448207114
139 2519 418328418
1236 54 678072849
593 1078 374540651
1485 2120 874783677
1705 8 313798446
1090 2346 921358238
1958 2488 988023285
1622 608 267461015
2476 1561 996323007
1059 1922 707951730
1644 2540 426920385
704 498 603678527
2401 1078 480093756
660 2313 596275131
707 2539 651027831
143 379 205270245
791 524 615380860
2273 1873 846992112
2061 2246 333997544
1072 2121 794912365
138 1472 885868818
1048 2513 37658437
2055 417 241318062
119 1280 463381624
2495 2478 865257866
2518 2020 516777836
1094 1927 975458386
916 262 374754465
2083 2410 728662405
1598 756 930636380
146 256 67518313
1499 490 723519436
1593 209 661571157
599 97 810179243
2207 508 497096805
1772 1730 671188133
2150 1406 591608038
898 2387 591245356
1186 1222 430605621
847 818 751691941
1386 1367 906274122
964 1957 283461816
1917 1510 884953834
1225 1605 137640132
1874 1878 873693596
1444 43 326649834
1528 1338 694419797
1535 114 109194362
85 1033 836681012
2444 761 787229415
114 833 352159211
756 775 661082672
1752 1825 340948951
790 2182 510564026
1384 118 199747222
1046 2112 692731483
1743 911 418171957
340 1700 103025772
1175 531 94070563
1892 1536 284293197
